LEVEL1,LEVEL2,LEVEL3,LEVEL4,TOOLTIP,SOURCE,SOURCE URL,2012,2013,2014,2015,2016,2017,LEVEL
Community Development Block Grant Tot,,,,,,,2782326,3188849,3371060,3653829,3965369,4318661,1
Convention Center Financing Fund-Spec,Finance Administration,Capital Project Expense,Biannual Budget Reserve,,,,,,,,1432191,4249539,4
Convention Center Financing Fund-Spec,Finance Administration,Capital Project Expense Total,,,,,,,,,1432191,4249539,3
Convention Center Financing Fund-Spec,Finance Administration,Direct Expenses,Special Projects & Programs,,,,,,,4100000,500000,500000,4
Convention Center Financing Fund-Spec,Finance Administration,Direct Expenses Total,,,,,,,,4100000,500000,500000,3
Convention Center Financing Fund-Spec,Finance Administration,Interfund Transfers In/Out,To 642 Civic Ctr Renov,,,,3604000,3681955,3762584,3846000,2930825,3018750,4
Convention Center Financing Fund-Spec,Finance Administration,Interfund Transfers In/Out,To 644 Convention Ctr Debt Svc,,,,10697000,,,,,,4
Convention Center Financing Fund-Spec,Finance Administration,Interfund Transfers In/Out,To 648 New Rcc Complex Fund,,,,,1251500,1980434,2446000,1152000,2709000,4
Convention Center Financing Fund-Spec,Finance Administration,Interfund Transfers In/Out Total,,,,,14301000,4933455,5743018,6292000,4082825,5727750,3
Convention Center Financing Fund-Spec,Finance Administration Total,,,,,,14301000,4933455,5743018,10392000,6015016,10477289,2
Convention Center Financing Fund-Spec,Treasury Office,Capital Project Expense,Biannual Budget Reserve,,,,,626375,1466142,,,,4
Convention Center Financing Fund-Spec,Treasury Office,Capital Project Expense Total,,,,,,626375,1466142,,,,3
Convention Center Financing Fund-Spec,Treasury Office,Direct Expenses,Special Projects & Programs,,,,,450000,450000,450000,450000,450000,4
Convention Center Financing Fund-Spec,Treasury Office,Direct Expenses Total,,,,,,450000,450000,450000,450000,450000,3
Convention Center Financing Fund-Spec,Treasury Office,Interfund Transfers In/Out,To 644 Convention Ctr Debt Svc,,,,,11153370,11188570,18476000,18476920,18475783,4
Convention Center Financing Fund-Spec,Treasury Office,Interfund Transfers In/Out Total,,,,,,11153370,11188570,18476000,18476920,18475783,3
Convention Center Financing Fund-Spec,Treasury Office Total,,,,,,,12229745,13104712,18926000,18926920,18925783,2
Convention Center Financing Fund-Spec,,,,Convention Center Financing Fund - Special Revenue,,,14301000,17163200,18847730,29318000,24941936,29403072,1
E 911 State Tax Fund-Operatinging,Emergency Communications,Capital Equipment,Communications Equip,Convention Center Financing Fund - Special Revenue,,,20000,20000,20000,20000,15000,15000,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Capital Equipment,Office Furniture & Equip,Convention Center Financing Fund - Special Revenue,,,7000,7000,8400,8400,8400,8400,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Capital Equipment Total,,Convention Center Financing Fund - Special Revenue,,,27000,27000,28400,28400,23400,23400,3
E 911 State Tax Fund-Operatinging,Emergency Communications,Direct Expenses,Computer Lease,Convention Center Financing Fund - Special Revenue,,,11192,4406,10000,10000,15000,7857,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Direct Expenses,Computer Operatingions & Access,Convention Center Financing Fund - Special Revenue,,,196144,268065,269471,357038,417000,494000,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Direct Expenses,Operatingional & Maint Supplies,Convention Center Financing Fund - Special Revenue,,,2000,2000,2000,2000,1000,2500,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Direct Expenses,Professional Svcs-Other,Convention Center Financing Fund - Special Revenue,,,,,,,168750,168750,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Direct Expenses,Rsv-Program,Convention Center Financing Fund - Special Revenue,,,75000,75000,75000,75000,,58323,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Direct Expenses,Rsv-Wide Area Network,Convention Center Financing Fund - Special Revenue,,,744,744,744,744,744,744,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Direct Expenses,Telephone/Comm (Hard Lines),Convention Center Financing Fund - Special Revenue,,,1610400,1610400,1610400,1610400,2117842,1620000,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Direct Expenses,Wan Data Line,Convention Center Financing Fund - Special Revenue,,,4536,4536,4536,4536,4500,6744,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Direct Expenses Total,,,,,1900016,1965151,1972151,2059718,2724836,2358918,3
E 911 State Tax Fund-Operatinging,Emergency Communications,Employee Benefits,457 Plan Offset,,,,-2963,,,,,,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Employee Benefits,Dental Insurance,,,,2392,3659,3943,3783,3361,4806,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Employee Benefits,Dental Insurance Increment,,,,,73,,,-280,,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Employee Benefits,FICA Temp,,,,,,,,,67,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Employee Benefits,Group Life AD & D (Retiree),,,,,288,3235,,,,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Employee Benefits,Group Life Ad & Di,,,,318,307,345,360,372,425,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Employee Benefits,Health Insurance,,,,40638,61000,68652,44964,33609,54760,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Employee Benefits,Health Insurance (Retiree),,,,,21791,122016,,,,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Employee Benefits,Health Insurance Increment,,,,,-9862,-9536,-2675,-2527,4052,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Employee Benefits,Medicare,,,,5120,4952,5551,5798,5990,6848,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Employee Benefits,Medicare Supplement,,,,,1125,4800,,,,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Employee Benefits,Medicare Temp,,,,,,,,,16,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Employee Benefits,Opeb- Post Employment Benefits,,,,,3264,12085,,,,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Employee Benefits,Retirement,,,,24295,23020,27066,28273,28919,34238,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Employee Benefits,Social Security,,,,21894,21176,23735,24793,25614,29280,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Employee Benefits,Supplemental Retirement,,,,8978,3721,3485,5356,6429,9392,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Employee Benefits Total,,,,,100672,134514,265377,110652,101487,143883,3
E 911 State Tax Fund-Operatinging,Emergency Communications,Miscellaneous,Mileage Reimb,,,,3000,3000,3000,3000,200,200,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Miscellaneous,Organization Dev & Training,,,,7080,7080,18510,22310,10500,14000,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Miscellaneous,Training & Travel & Reg,,,,10000,10000,10000,10000,6000,6000,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Miscellaneous Total,,,,,20080,20080,31510,35310,16700,20200,3
E 911 State Tax Fund-Operatinging,Emergency Communications,Other Expense,Sir Prop/Liab Claims,,,,,308,308,308,,,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Other Expense,To Isf-Excess Prop/Liab Prem,,,,,592,592,592,,,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Other Expense Total,,,,,,900,900,900,,,3
E 911 State Tax Fund-Operatinging,Emergency Communications,Salaries and Wages,Earnings Offset,,,,-2660,,,,,,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Salaries and Wages,Expense Allowance,,,,,,,,1080,1080,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Salaries and Wages,Longevity,,,,3286,3801,3577,3701,4421,4495,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Salaries and Wages,Merit Increase,,,,2660,11,22,23,,,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Salaries and Wages,Range Increase,,,,15,11,22,23,,,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Salaries and Wages,Salaries-Ft,,,,347164,337721,379206,396146,408712,467756,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Salaries and Wages Total,,,,,350465,341544,382827,399893,414213,473332,3
E 911 State Tax Fund-Operatinging,Emergency Communications Total,,,,,,2398233,2489189,2681165,2634873,3280636,3019732,2
E 911 State Tax Fund-Operatinging Tot,,,,,,,2398233,2489189,2681165,2634873,3280636,3019732,1
Economic Development Fund,Budget & Management Services,Direct Expenses,Contractual Svcs-Other,,,,,18053,2500,2500,3500,3500,4
Economic Development Fund,Budget & Management Services,Direct Expenses,Rsv-Econ Dev Projects,,,,,50000,,,,,4
Economic Development Fund,Budget & Management Services,Direct Expenses Total,,,,,,68053,2500,2500,3500,3500,3
Economic Development Fund,Budget & Management Services,Interfund Transfers In/Out,To 515 Sidewalk,,,,,,,27500,,,4
Economic Development Fund,Budget & Management Services,Interfund Transfers In/Out Total,,,,,,,,27500,,,3
Economic Development Fund,Budget & Management Services Total,,,,,,,68053,2500,30000,3500,3500,2
Economic Development Fund,City Manager,Direct Expenses,Repairs-Bldg/Structure,,,,,,1000,,,,4
Economic Development Fund,City Manager,Direct Expenses,Special Projects & Programs,,,,,5000,,,,,4
Economic Development Fund,City Manager,Direct Expenses Total,,,,,,5000,1000,,,,3
Economic Development Fund,City Manager Total,,,,,,,5000,1000,,,,2
Economic Development Fund,Economic Development,Direct Expenses,Contractual Svcs-Other,,,,59670,,,,,,4
Economic Development Fund,Economic Development,Direct Expenses,Se Ral Virtual Business Incuba,,,,162000,,,,,,4
Economic Development Fund,Economic Development,Direct Expenses,Special Projects & Programs,,,,1599000,,,,,,4
Economic Development Fund,Economic Development,Direct Expenses Total,,,,,1820670,,,,,,3
Economic Development Fund,Economic Development,Other Expense,Other External Agencies,,,,310799,,,,,,4
Economic Development Fund,Economic Development,Other Expense Total,,,,,310799,,,,,,3
Economic Development Fund,Economic Development Total,,,,,,2131469,,,,,,2
Economic Development Fund,Finance Administration,Direct Expenses,Special Projects & Programs,,,,,900000,395650,500000,500000,100000,4
Economic Development Fund,Finance Administration,Direct Expenses Total,,,,,,900000,395650,500000,500000,100000,3
Economic Development Fund,Finance Administration Total,,,,,,,900000,395650,500000,500000,100000,2
Economic Development Fund,Information Technology Admin,Direct Expenses,Se Ral Virtual Business Incuba,,,,,162000,152000,,,,4
Economic Development Fund,Information Technology Admin,Direct Expenses Total,,,,,,162000,152000,,,,3
Economic Development Fund,Information Technology Admin,Other Expense,Other External Agencies,,,,,207000,207000,,,,4
Economic Development Fund,Information Technology Admin,Other Expense Total,,,,,,207000,207000,,,,3
Economic Development Fund,Information Technology Admin Total,,,,,,,369000,359000,,,,2
Economic Development Fund,Office of Economic Development,Direct Expenses,Entrepreneurship Prog Exp,,,,,,,100000,100000,270000,4
Economic Development Fund,Office of Economic Development,Direct Expenses,Event Sponsorships,,,,,,,10000,30000,30000,4
Economic Development Fund,Office of Economic Development,Direct Expenses,Red Hat Incentive Grant,,,,,,,100000,150000,150000,4
Economic Development Fund,Office of Economic Development,Direct Expenses,Special Projects & Programs,,,,,,,659450,653963,673963,4
Economic Development Fund,Office of Economic Development,Direct Expenses Total,,,,,,,,869450,933963,1123963,3
Economic Development Fund,Office of Economic Development,Other Expense,Other External Agencies,,,,,,,536500,349481,319329,4
Economic Development Fund,Office of Economic Development,Other Expense Total,,,,,,,,536500,349481,319329,3
Economic Development Fund,Office of Economic Development Total,,,,,,,,,1405950,1283444,1443292,2
Economic Development Fund,Planning,Direct Expenses,Red Hat Incentive Grant,,,,,100000,100000,,,,4
Economic Development Fund,Planning,Direct Expenses,Special Projects & Programs,,,,,584450,659450,,,,4
Economic Development Fund,Planning,Direct Expenses Total,,,,,,684450,759450,,,,3
Economic Development Fund,Planning,Other Expense,Other External Agencies,,,,,103799,104162,,,,4
Economic Development Fund,Planning,Other Expense Total,,,,,,103799,104162,,,,3
Economic Development Fund,Planning Total,,,,,,,788249,863612,,,,2
Economic Development Fund Total,,,,,,,2131469,2130302,1621762,1935950,1786944,1546792,1
Emergency Shelter Grant,Community Development,Other Expense,Program Expenditures - Gr,,,,108680,195403,178932,217085,,,4
Emergency Shelter Grant,Community Development,Other Expense Total,,,,,108680,195403,178932,217085,,,3
Emergency Shelter Grant,Community Development Total,,,,,,108680,195403,178932,217085,,,2
Emergency Shelter Grant Total,,,,,,,108680,195403,178932,217085,,,1
Emergency Solution Grant,Community Development,Other Expense,Program Expenditures - Gr,,,,,,,,239845,239845,4
Emergency Solution Grant,Community Development,Other Expense Total,,,,,,,,,239845,239845,3
Emergency Solution Grant,Community Development Total,,,,,,,,,,239845,239845,2
Emergency Solution Grant Total,,,,,,,,,,,239845,239845,1
General Debt Service Fund,Non-Departmental,Direct Expenses,Rsv-Contingency,,,,,,,,28849,,4
General Debt Service Fund,Non-Departmental,Direct Expenses,Rsv-Future Facility,,,,,,,,1564946,,4
General Debt Service Fund,Non-Departmental,Direct Expenses Total,,,,,,,,,1593795,,3
General Debt Service Fund,Non-Departmental Total,,,,,,,,,,1593795,,2
General Debt Service Fund,Treasury Office,Capital Project Expense,Biannual Budget Reserve,,,,,,,,,7402948,4
General Debt Service Fund,Treasury Office,Capital Project Expense,Bond Commission Exp,,,,100000,100000,100000,100000,100000,,4
General Debt Service Fund,Treasury Office,Capital Project Expense,Bond Interest,,,,17103739,19612883,20053337,25288500,31349127,22597362,4
General Debt Service Fund,Treasury Office,Capital Project Expense,Bond Principal,,,,28904296,31695663,31262067,32158800,42158800,41547539,4
General Debt Service Fund,Treasury Office,Capital Project Expense Total,,,,,46108035,51408546,51415404,57547300,73607927,71547849,3
General Debt Service Fund,Treasury Office,Direct Expenses,Arbitrage Rebate Consult,,,,30000,30000,30000,30000,30000,30000,4
General Debt Service Fund,Treasury Office,Direct Expenses,Bond Liquidity Fees,,,,,,,,,303650,4
General Debt Service Fund,Treasury Office,Direct Expenses,Bond Re-Marketing Fees,,,,500000,500000,500000,500000,500000,151825,4
General Debt Service Fund,Treasury Office,Direct Expenses,Bond Sale Services,,,,250000,250000,250000,250000,250000,400000,4
General Debt Service Fund,Treasury Office,Direct Expenses,Financial Advisor,,,,100000,100000,100000,100000,100000,150000,4
General Debt Service Fund,Treasury Office,Direct Expenses,Professional Svcs-Other,,,,330000,330000,330000,330000,330000,330000,4
General Debt Service Fund,Treasury Office,Direct Expenses,Rsv-Future Debt,,,,321099,,,,,,4
General Debt Service Fund,Treasury Office,Direct Expenses,Trustee Escrow Agent Expense,,,,75000,75000,75000,75000,75000,75000,4
General Debt Service Fund,Treasury Office,Direct Expenses Total,,,,,1606099,1285000,1285000,1285000,1285000,1440475,3
General Debt Service Fund,Treasury Office Total,,,,,,47714134,52693546,52700404,58832300,74892927,72988324,2
General Debt Service Fund Total,,,,,,,47714134,52693546,52700404,58832300,76486722,72988324,1
General Fund,Accounting & Fin Reporting,Capital Equipment,Office Furniture & Equip,,,,,,4000,2000,800,800,4
General Fund,Accounting & Fin Reporting,Capital Equipment Total,,,,,,,4000,2000,800,800,3
General Fund,Accounting & Fin Reporting,Direct Expenses,Audit Services,,,,80000,80000,90000,73500,73500,74500,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Computer Lease,,,,13000,10942,11234,10900,10900,10950,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Computer Operatingions & Access,,,,3400,3400,17400,14000,7000,7000,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Contractual Svcs-Other,,,,25980,25980,25980,,,,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Copier Maintenance/Impressions,,,,,4176,3511,5200,5200,5200,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Indirect Cost Plan,,,,16000,13500,13500,13500,13500,13500,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Office Supplies,,,,7320,6200,4200,4500,1500,2000,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Operatingional & Maint Supplies,,,,4050,4050,3050,2100,5100,3400,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Photocopy Maint,,,,5362,3564,3780,5000,5000,5000,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Print Copy-Rmb,,,,23105,38105,34850,12700,7500,7500,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Professional Svcs-Other,,,,16800,16800,16800,18500,18500,19200,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Telephone/Comm (Hard Lines),,,,,,400,,,,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Wireless Data Comm,,,,960,,,,,,4
General Fund,Accounting & Fin Reporting,Direct Expenses Total,,,,,195977,206717,224705,159900,147700,148250,3
General Fund,Accounting & Fin Reporting,Employee Benefits,457 Plan Offset,,,,-9919,,,,,,4
General Fund,Accounting & Fin Reporting,Employee Benefits,Dental Insurance,,,,7383,7485,8241,9778,12047,11946,4
General Fund,Accounting & Fin Reporting,Employee Benefits,Dental Insurance Increment,,,,,150,,,-1003,,4
General Fund,Accounting & Fin Reporting,Employee Benefits,FICA Temp,,,,,,31,31,31,31,4
General Fund,Accounting & Fin Reporting,Employee Benefits,Group Life Ad & Di,,,,1032,1018,1151,1167,1260,1257,4
General Fund,Accounting & Fin Reporting,Employee Benefits,Health Insurance,,,,130929,121736,139272,142008,153993,145914,4
General Fund,Accounting & Fin Reporting,Employee Benefits,Health Insurance Increment,,,,-11840,-19682,-18220,-8449,-11580,10798,4
General Fund,Accounting & Fin Reporting,Employee Benefits,Medicare,,,,16631,16409,18538,18803,20300,20250,4
General Fund,Accounting & Fin Reporting,Employee Benefits,Medicare Temp,,,,,,7,7,7,7,4
General Fund,Accounting & Fin Reporting,Employee Benefits,Retirement,,,,78912,76272,90461,91683,97999,101252,4
General Fund,Accounting & Fin Reporting,Employee Benefits,Social Security,,,,71113,70161,79268,80401,86799,86588,4
General Fund,Accounting & Fin Reporting,Employee Benefits,Supplemental Retirement,,,,30058,21127,24719,36550,34498,31351,4
General Fund,Accounting & Fin Reporting,Employee Benefits Total,,,,,314299,294676,343468,371979,394351,409395,3
General Fund,Accounting & Fin Reporting,Miscellaneous,Licenses/Dues & Publications,,,,5490,5490,5490,4200,4500,4500,4
General Fund,Accounting & Fin Reporting,Miscellaneous,Records Storage Retention Svcs,,,,,4227,4227,1900,2800,2800,4
General Fund,Accounting & Fin Reporting,Miscellaneous,Training & Travel & Reg,,,,4800,11800,23300,24600,20600,16600,4
General Fund,Accounting & Fin Reporting,Miscellaneous Total,,,,,10290,21517,33017,30700,27900,23900,3
General Fund,Accounting & Fin Reporting,Salaries and Wages,Agency Personnel-Temp,,,,,,,,50000,,4
General Fund,Accounting & Fin Reporting,Salaries and Wages,Earnings Offset,,,,-5919,,,1538,,,4
General Fund,Accounting & Fin Reporting,Salaries and Wages,Expense Allowance,,,,,504,504,504,504,504,4
General Fund,Accounting & Fin Reporting,Salaries and Wages,Longevity,,,,13779,13256,10113,8148,13655,13119,4
General Fund,Accounting & Fin Reporting,Salaries and Wages,Merit Increase,,,,5919,24,80,80,,,4
General Fund,Accounting & Fin Reporting,Salaries and Wages,Range Increase,,,,55,24,80,80,,,4
General Fund,Accounting & Fin Reporting,Salaries and Wages,Salaries-Ft,,,,1127232,1118330,1268243,1288477,1386324,1383462,4
General Fund,Accounting & Fin Reporting,Salaries and Wages Total,,,,,1141066,1132138,1279020,1298827,1450483,1397085,3
General Fund,Accounting & Fin Reporting Total,,,,,,1661632,1655048,1884210,1863406,2021234,1979430,2
General Fund,Arts Appropriations,Other Expense,Arts & Culture,,,,2179329,2052760,2343183,2317093,2295562,2587289,4
General Fund,Arts Appropriations,Other Expense,Boards & Commissions,,,,9000,,,,,,4
General Fund,Arts Appropriations,Other Expense,Human Service Agencies,,,,974000,,,,,,4
General Fund,Arts Appropriations,Other Expense,Other External Agencies,,,,306850,,,,,,4
General Fund,Arts Appropriations,Other Expense Total,,,,,3469179,2052760,2343183,2317093,2295562,2587289,3
General Fund,Arts Appropriations Total,,,,,,3469179,2052760,2343183,2317093,2295562,2587289,2
General Fund,Budget & Management Services,Direct Expenses,Appraisal/Environmental Assess,,,,5000,,5000,,,,4
General Fund,Budget & Management Services,Direct Expenses,Computer Lease,,,,11844,12520,6600,6600,6600,6600,4
General Fund,Budget & Management Services,Direct Expenses,Computer Operatingions & Access,,,,500,,,2030,,,4
General Fund,Budget & Management Services,Direct Expenses,Copier Maintenance/Impressions,,,,1716,2360,682,2950,2950,2950,4
General Fund,Budget & Management Services,Direct Expenses,Office Supplies,,,,2125,2125,3625,4000,2500,4300,4
General Fund,Budget & Management Services,Direct Expenses,Operatingional & Maint Supplies,,,,500,500,1100,1100,1100,1605,4
General Fund,Budget & Management Services,Direct Expenses,Photocopy Maint,,,,1284,1950,1464,1500,1500,1500,4
General Fund,Budget & Management Services,Direct Expenses,Print Copy-Rmb,,,,6000,5000,5000,5000,5000,5000,4
General Fund,Budget & Management Services,Direct Expenses,Professional Svcs-Other,,,,15000,,14000,85720,191045,191045,4
General Fund,Budget & Management Services,Direct Expenses,Telephone/Comm (Hard Lines),,,,500,,395,795,,,4
General Fund,Budget & Management Services,Direct Expenses,Vehicle Maint & Operatingion,,,,500,500,500,500,500,,4
General Fund,Budget & Management Services,Direct Expenses Total,,,,,44969,24955,38366,110195,211195,213000,3
General Fund,Budget & Management Services,Employee Benefits,457 Plan Offset,,,,-9385,,,,,,4
General Fund,Budget & Management Services,Employee Benefits,Dental Insurance,,,,5936,5367,7237,7761,5166,5719,4
General Fund,Budget & Management Services,Employee Benefits,Dental Insurance Increment,,,,,107,,,-429,,4
General Fund,Budget & Management Services,Employee Benefits,FICA Temp,,,,,5712,3700,1840,603,572,4
General Fund,Budget & Management Services,Employee Benefits,Group Life Ad & Di,,,,854,890,1121,1174,822,910,4
General Fund,Budget & Management Services,Employee Benefits,Health Insurance,,,,86014,87546,124500,109296,60549,72189,4
