Fund,Department,Type,Account,Current,Amount,Revenue,Annotation
E 911 State Tax Fund-Operating,Emergency Communications,Direct Expenses,Telephone/Comm (Hard Lines),1620000,-497842,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Direct Expenses,Wan Data Line,6744,2244,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Dental Insurance,4805.8,1444.7,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Dental Insurance Increment,,279.64,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,FICA Temp,66.96,66.96,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Group Life Ad & Di,425.02,53.19,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Health Insurance,54760.32,21151.2,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Health Insurance Increment,4052.26,6579.67,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Medicare,6847.64,857.21,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Medicare Temp,15.66,15.66,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Retirement,34238.23,5318.95,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Social Security,29279.58,3665.38,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Supplemental Retirement,9391.68,2962.37,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Miscellaneous,Mileage Reimb,200,0,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Miscellaneous,Organization Dev & Training,14000,3500,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Miscellaneous,Training & Travel & Reg,6000,0,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Salaries and Wages,Expense Allowance,1080,0,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Salaries and Wages,Longevity,4495.16,74.59,FALSE,0
E 911 State Tax Fund-Operating,Emergency Communications,Salaries and Wages,Salaries-Ft,467756.35,59044.53,FALSE,0
Economic Development Fund,Budget & Management Services,Direct Expenses,Contractual Svcs-Other,3500,0,FALSE,0
Economic Development Fund,Finance Administration,Direct Expenses,Special Projects & Programs,100000,-400000,FALSE,0
Economic Development Fund,Office of Economic Development,Direct Expenses,Entrepreneurship Prog Exp,270000,170000,FALSE,0
Economic Development Fund,Office of Economic Development,Direct Expenses,Event Sponsorships,30000,0,FALSE,0
Economic Development Fund,Office of Economic Development,Direct Expenses,Red Hat Incentive Grant,150000,0,FALSE,0
Economic Development Fund,Office of Economic Development,Direct Expenses,Special Projects & Programs,673963,20000,FALSE,0
Economic Development Fund,Office of Economic Development,Other Expense,Other External Agencies,319329,-30152,FALSE,0
Emergency Solution Grant,Community Development,Other Expense,Program Expenditures - Gr,239845,0,FALSE,0
General Debt Service Fund,Non-Departmental,Direct Expenses,Rsv-Contingency,,-28849,FALSE,0
General Debt Service Fund,Non-Departmental,Direct Expenses,Rsv-Future Facility,,-1564946,FALSE,0
General Debt Service Fund,Treasury Office,Capital Project Expense,Biannual Budget Reserve,7402948,7402948,FALSE,0
General Debt Service Fund,Treasury Office,Capital Project Expense,Bond Commission Exp,,-100000,FALSE,0
General Debt Service Fund,Treasury Office,Capital Project Expense,Bond Interest,22597362,-8751765,FALSE,0
General Debt Service Fund,Treasury Office,Capital Project Expense,Bond Principal,41547539,-611261,FALSE,0
General Debt Service Fund,Treasury Office,Direct Expenses,Arbitrage Rebate Consult,30000,0,FALSE,0
General Debt Service Fund,Treasury Office,Direct Expenses,Bond Liquidity Fees,303650,303650,FALSE,0
General Debt Service Fund,Treasury Office,Direct Expenses,Bond Re-Marketing Fees,151825,-348175,FALSE,0
General Debt Service Fund,Treasury Office,Direct Expenses,Bond Sale Services,400000,150000,FALSE,0
General Debt Service Fund,Treasury Office,Direct Expenses,Financial Advisor,150000,50000,FALSE,0
General Debt Service Fund,Treasury Office,Direct Expenses,Professional Svcs-Other,330000,0,FALSE,0
General Debt Service Fund,Treasury Office,Direct Expenses,Trustee Escrow Agent Expense,75000,0,FALSE,0
General Fund,Accounting & Fin Reporting,Capital Equipment,Office Furniture & Equip,800,0,FALSE,0
General Fund,Accounting & Fin Reporting,Direct Expenses,Audit Services,74500,1000,FALSE,0
General Fund,Accounting & Fin Reporting,Direct Expenses,Computer Lease,10950,50,FALSE,0
General Fund,Accounting & Fin Reporting,Direct Expenses,Computer Operations & Access,7000,0,FALSE,0
General Fund,Accounting & Fin Reporting,Direct Expenses,Copier Maintenance/Impressions,5200,0,FALSE,0
General Fund,Accounting & Fin Reporting,Direct Expenses,Indirect Cost Plan,13500,0,FALSE,0
General Fund,Accounting & Fin Reporting,Direct Expenses,Office Supplies,2000,500,FALSE,0
General Fund,Accounting & Fin Reporting,Direct Expenses,Operational & Maint Supplies,3400,-1700,FALSE,0
General Fund,Accounting & Fin Reporting,Direct Expenses,Photocopy Maint,5000,0,FALSE,0
General Fund,Accounting & Fin Reporting,Direct Expenses,Print Copy-Rmb,7500,0,FALSE,0
General Fund,Accounting & Fin Reporting,Direct Expenses,Professional Svcs-Other,19200,700,FALSE,0
General Fund,Accounting & Fin Reporting,Employee Benefits,Dental Insurance,11945.96,-101.64,FALSE,0
General Fund,Accounting & Fin Reporting,Employee Benefits,Dental Insurance Increment,,1002.36,FALSE,0
General Fund,Accounting & Fin Reporting,Employee Benefits,FICA Temp,31.25,0,FALSE,0
General Fund,Accounting & Fin Reporting,Employee Benefits,Group Life Ad & Di,1256.93,-3.07,FALSE,0
General Fund,Accounting & Fin Reporting,Employee Benefits,Health Insurance,145914.24,-8078.88,FALSE,0
General Fund,Accounting & Fin Reporting,Employee Benefits,Health Insurance Increment,10797.65,22377.93,FALSE,0
General Fund,Accounting & Fin Reporting,Employee Benefits,Medicare,20250.43,-49.25,FALSE,0
General Fund,Accounting & Fin Reporting,Employee Benefits,Medicare Temp,7.31,0,FALSE,0
General Fund,Accounting & Fin Reporting,Employee Benefits,Retirement,101252.15,3253.63,FALSE,0
General Fund,Accounting & Fin Reporting,Employee Benefits,Social Security,86588.05,-210.69,FALSE,0
General Fund,Accounting & Fin Reporting,Employee Benefits,Supplemental Retirement,31350.95,-3146.73,FALSE,0
General Fund,Accounting & Fin Reporting,Miscellaneous,Licenses/Dues & Publications,4500,0,FALSE,0
General Fund,Accounting & Fin Reporting,Miscellaneous,Records Storage Retention Svcs,2800,0,FALSE,0
General Fund,Accounting & Fin Reporting,Miscellaneous,Training & Travel & Reg,16600,-4000,FALSE,0
General Fund,Accounting & Fin Reporting,Salaries and Wages,Agency Personnel-Temp,,-50000,FALSE,0
General Fund,Accounting & Fin Reporting,Salaries and Wages,Expense Allowance,504,0,FALSE,0
General Fund,Accounting & Fin Reporting,Salaries and Wages,Longevity,13119.32,-535.68,FALSE,0
General Fund,Accounting & Fin Reporting,Salaries and Wages,Salaries-Ft,1383462.04,-2862.16,FALSE,0
General Fund,Arts Appropriations,Other Expense,Arts & Culture,2417003,121441,FALSE,0
General Fund,Budget & Management Services,Direct Expenses,Computer Lease,6600,0,FALSE,0
General Fund,Budget & Management Services,Direct Expenses,Copier Maintenance/Impressions,2950,0,FALSE,0
General Fund,Budget & Management Services,Direct Expenses,Office Supplies,4300,1800,FALSE,0
General Fund,Budget & Management Services,Direct Expenses,Operational & Maint Supplies,1605,505,FALSE,0
General Fund,Budget & Management Services,Direct Expenses,Photocopy Maint,1500,0,FALSE,0
General Fund,Budget & Management Services,Direct Expenses,Print Copy-Rmb,5000,0,FALSE,0
General Fund,Budget & Management Services,Direct Expenses,Professional Svcs-Other,191045,0,FALSE,0
General Fund,Budget & Management Services,Direct Expenses,Vehicle Maint & Operation,,-500,FALSE,0
General Fund,Budget & Management Services,Employee Benefits,Dental Insurance,5719.4,552.48,FALSE,0
General Fund,Budget & Management Services,Employee Benefits,Dental Insurance Increment,,429.89,FALSE,0
General Fund,Budget & Management Services,Employee Benefits,FICA Temp,572.01,-31.31,FALSE,0
General Fund,Budget & Management Services,Employee Benefits,Group Life Ad & Di,909.6,88.58,FALSE,0
General Fund,Budget & Management Services,Employee Benefits,Health Insurance,72189.12,11640,FALSE,0
General Fund,Budget & Management Services,Employee Benefits,Health Insurance Increment,5342,9895.3,FALSE,0
General Fund,Budget & Management Services,Employee Benefits,Medicare,14654.71,1427.03,FALSE,0
General Fund,Budget & Management Services,Employee Benefits,Medicare Temp,133.78,-7.32,FALSE,0
General Fund,Budget & Management Services,Employee Benefits,Retirement,73273.6,9415.83,FALSE,0
General Fund,Budget & Management Services,Employee Benefits,Social Security,62661.55,6101.8,FALSE,0
General Fund,Budget & Management Services,Employee Benefits,Supplemental Retirement,23325.27,1646.07,FALSE,0
General Fund,Budget & Management Services,Miscellaneous,Licenses/Dues & Publications,13850,0,FALSE,0
General Fund,Budget & Management Services,Miscellaneous,Mileage Reimb,1000,0,FALSE,0
General Fund,Budget & Management Services,Miscellaneous,Postage - Dept Charges,700,0,FALSE,0
General Fund,Budget & Management Services,Miscellaneous,Records Storage Retention Svcs,,-1300,FALSE,0
General Fund,Budget & Management Services,Miscellaneous,Training & Travel & Reg,19000,0,FALSE,0
General Fund,Budget & Management Services,Salaries and Wages,Expense Allowance,4176,-505,FALSE,0
General Fund,Budget & Management Services,Salaries and Wages,Longevity,5610.11,-1049.91,FALSE,0
General Fund,Budget & Management Services,Salaries and Wages,Salaries-Ft,1005059.98,99466.03,FALSE,0
General Fund,Budget & Management Services,Salaries and Wages,Salaries-Pt Temp/Seasonal,5050,0,FALSE,0
General Fund,Building & Safety Services,Capital Equipment,Office Furniture & Equip,25000,25000,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Cellular/Wireless Voice Lines,27241.8,27241.8,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Computer Lease,33303.76,33303.76,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Computer Operations & Access,73680,73680,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Contractual Svcs-Other,41773,41773,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Copier Maintenance/Impressions,14200,14200,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Equipment Usage Charge,199316.73,199316.73,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Motor Fuels & Lubricants,136354.57,136354.57,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Office Supplies,4300,4300,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Operational & Maint Supplies,15550,15550,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Photocopy Maint,6000,6000,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Print Copy-Rmb,1500,1500,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Rental-Real Property,130640,130640,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Service Contracts-Other,2425,2425,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Small Equipment,18050,18050,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Uniforms,45300,45300,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Vehicle Maint & Operation,88722.73,88722.73,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Wan Data Line,3000,3000,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Wireless Data Comm,20514.84,20514.84,FALSE,0
General Fund,Building & Safety Services,Employee Benefits,Dental Insurance,50527.48,50527.48,FALSE,0
General Fund,Building & Safety Services,Employee Benefits,FICA Temp,1990.2,1990.2,FALSE,0
General Fund,Building & Safety Services,Employee Benefits,Group Life Ad & Di,4113.61,4113.61,FALSE,0
General Fund,Building & Safety Services,Employee Benefits,Health Insurance,589416.48,589416.48,FALSE,0
General Fund,Building & Safety Services,Employee Benefits,Health Insurance Increment,42551.22,42551.22,FALSE,0
General Fund,Building & Safety Services,Employee Benefits,Medicare,66275.03,66275.03,FALSE,0
General Fund,Building & Safety Services,Employee Benefits,Medicare Temp,465.45,465.45,FALSE,0
General Fund,Building & Safety Services,Employee Benefits,Retirement,331213.8,331213.8,FALSE,0
General Fund,Building & Safety Services,Employee Benefits,Retirement Temp,1628,1628,FALSE,0
General Fund,Building & Safety Services,Employee Benefits,Social Security,283383.09,283383.09,FALSE,0
General Fund,Building & Safety Services,Employee Benefits,Supplemental Retirement,102169.85,102169.85,FALSE,0
General Fund,Building & Safety Services,Miscellaneous,Licenses/Dues & Publications,13000,13000,FALSE,0
General Fund,Building & Safety Services,Miscellaneous,Mileage Reimb,500,500,FALSE,0
General Fund,Building & Safety Services,Miscellaneous,Organization Dev & Training,20000,20000,FALSE,0
General Fund,Building & Safety Services,Miscellaneous,Postage - Dept Charges,10000,10000,FALSE,0
General Fund,Building & Safety Services,Miscellaneous,Records Storage Retention Svcs,8000,8000,FALSE,0
General Fund,Building & Safety Services,Miscellaneous,Training & Travel & Reg,44840,44840,FALSE,0
General Fund,Building & Safety Services,Other Expense,To ISF-Prop/Liab Claims,9820,9820,FALSE,0
General Fund,Building & Safety Services,Other Expense,To ISF-Prop/Liab Premium,8254,8254,FALSE,0
General Fund,Building & Safety Services,Other Expense,To Isf-Sir Workers Comp,82558,82558,FALSE,0
General Fund,Building & Safety Services,Other Expense,To ISF-WC Excess Premium,7219,7219,FALSE,0
General Fund,Building & Safety Services,Salaries and Wages,Expense Allowance,600,600,FALSE,0
General Fund,Building & Safety Services,Salaries and Wages,Incentive Pay,2000,2000,FALSE,0
General Fund,Building & Safety Services,Salaries and Wages,Longevity,59058.26,59058.26,FALSE,0
General Fund,Building & Safety Services,Salaries and Wages,Salaries-Ft,4512516.2,4512516.2,FALSE,0
General Fund,Building & Safety Services,Salaries and Wages,Salaries-Ot For Ft Staff,57000,57000,FALSE,0
General Fund,Building & Safety Services,Salaries and Wages,Salaries-Pt Temp/Seasonal,10100,10100,FALSE,0
General Fund,City Attorney,Capital Equipment,Office Furniture & Equip,14745,12745,FALSE,0
General Fund,City Attorney,Capital Project Expense,Const Renovation,,-25000,FALSE,0
General Fund,City Attorney,Direct Expenses,Cable Tv Services,200,0,FALSE,0
General Fund,City Attorney,Direct Expenses,Computer Lease,11000,1550,FALSE,0
General Fund,City Attorney,Direct Expenses,Computer Operations & Access,2000,0,FALSE,0
General Fund,City Attorney,Direct Expenses,Copier Maintenance/Impressions,6410,1000,FALSE,0
General Fund,City Attorney,Direct Expenses,Legal Services,30000,0,FALSE,0
General Fund,City Attorney,Direct Expenses,Office Supplies,11000,2000,FALSE,0
General Fund,City Attorney,Direct Expenses,Operational & Maint Supplies,500,0,FALSE,0
General Fund,City Attorney,Direct Expenses,Photocopy Maint,4650,1000,FALSE,0
General Fund,City Attorney,Direct Expenses,Print Copy-Rmb,4831,0,FALSE,0
General Fund,City Attorney,Direct Expenses,Professional Svcs-Other,197000,34000,FALSE,0
General Fund,City Attorney,Direct Expenses,Repairs-Office Equip,3000,1500,FALSE,0
General Fund,City Attorney,Direct Expenses,Telephone/Comm (Hard Lines),1000,0,FALSE,0
General Fund,City Attorney,Direct Expenses,Wireless Data Comm,2986.36,0,FALSE,0
General Fund,City Attorney,Employee Benefits,Dental Insurance,14446.76,-449.28,FALSE,0
General Fund,City Attorney,Employee Benefits,Dental Insurance Increment,,1196.5,FALSE,0
General Fund,City Attorney,Employee Benefits,FICA Temp,6082.2,0,FALSE,0
General Fund,City Attorney,Employee Benefits,Group Life Ad & Di,2021.68,84.49,FALSE,0
General Fund,City Attorney,Employee Benefits,Health Insurance,176625.12,-7308,FALSE,0
General Fund,City Attorney,Employee Benefits,Health Insurance Increment,13070.26,26360.59,FALSE,0
General Fund,City Attorney,Employee Benefits,Medicare,32571.4,1361.61,FALSE,0
General Fund,City Attorney,Employee Benefits,Medicare Temp,1422.45,0,FALSE,0
General Fund,City Attorney,Employee Benefits,Retirement,162856.96,12118.11,FALSE,0
General Fund,City Attorney,Employee Benefits,Social Security,137276.94,4905.69,FALSE,0
General Fund,City Attorney,Employee Benefits,Supplemental Retirement,76962.48,-176.79,FALSE,0
General Fund,City Attorney,Miscellaneous,Advertising,2000,2000,FALSE,0
General Fund,City Attorney,Miscellaneous,Licenses/Dues & Publications,76500,9500,FALSE,0
General Fund,City Attorney,Miscellaneous,Mileage Reimb,600,0,FALSE,0
General Fund,City Attorney,Miscellaneous,Postage,2000,1000,FALSE,0
General Fund,City Attorney,Miscellaneous,Postage - Dept Charges,1000,0,FALSE,0
General Fund,City Attorney,Miscellaneous,Records Storage Retention Svcs,21040.89,0,FALSE,0
General Fund,City Attorney,Miscellaneous,Training & Travel & Reg,30000,5000,FALSE,0
General Fund,City Attorney,Salaries and Wages,Expense Allowance,7200,0,FALSE,0
General Fund,City Attorney,Salaries and Wages,Longevity,34556.41,2028.05,FALSE,0
General Fund,City Attorney,Salaries and Wages,Salaries-Ft,2211746.35,91877.27,FALSE,0
General Fund,City Attorney,Salaries and Wages,Salaries-Pt Temp/Seasonal,90900,0,FALSE,0
General Fund,City Attorney,Salaries and Wages,Salary Reserve,50000,0,FALSE,0
General Fund,City Clerk,Capital Equipment,Office Furniture & Equip,2000,0,FALSE,0
General Fund,City Clerk,Direct Expenses,City Code Contract,20000,5000,FALSE,0
General Fund,City Clerk,Direct Expenses,Computer Lease,3200,214,FALSE,0
General Fund,City Clerk,Direct Expenses,Computer Operations & Access,8600,4100,FALSE,0
General Fund,City Clerk,Direct Expenses,Contractual Svcs-Other,20000,0,FALSE,0
General Fund,City Clerk,Direct Expenses,Copier Maintenance/Impressions,5067,0,FALSE,0
General Fund,City Clerk,Direct Expenses,Office Supplies,4200,0,FALSE,0
General Fund,City Clerk,Direct Expenses,Photocopy Maint,2980,0,FALSE,0
General Fund,City Clerk,Direct Expenses,Print Copy-Rmb,15000,3000,FALSE,0
General Fund,City Clerk,Direct Expenses,Repairs-Office Equip,275,0,FALSE,0
General Fund,City Clerk,Employee Benefits,Dental Insurance,2740.72,553.4,FALSE,0
General Fund,City Clerk,Employee Benefits,Dental Insurance Increment,,181.99,FALSE,0
General Fund,City Clerk,Employee Benefits,FICA Temp,775.87,0,FALSE,0
General Fund,City Clerk,Employee Benefits,Group Life Ad & Di,337.49,41.98,FALSE,0
General Fund,City Clerk,Employee Benefits,Health Insurance,37848,7248,FALSE,0
General Fund,City Clerk,Employee Benefits,Health Insurance Increment,2800.76,5101.88,FALSE,0
General Fund,City Clerk,Employee Benefits,Medicare,5437.28,676.23,FALSE,0
General Fund,City Clerk,Employee Benefits,Medicare Temp,181.45,0,FALSE,0
General Fund,City Clerk,Employee Benefits,Retirement,27186.39,4180.78,FALSE,0
General Fund,City Clerk,Employee Benefits,Retirement Temp,681.98,0,FALSE,0
General Fund,City Clerk,Employee Benefits,Social Security,23249.06,2891.49,FALSE,0
General Fund,City Clerk,Employee Benefits,Supplemental Retirement,9690.05,973.22,FALSE,0
General Fund,City Clerk,Miscellaneous,Advertising,35000,0,FALSE,0
General Fund,City Clerk,Miscellaneous,Licenses/Dues & Publications,725,0,FALSE,0
General Fund,City Clerk,Miscellaneous,Postage - Dept Charges,3300,0,FALSE,0
General Fund,City Clerk,Miscellaneous,Records Storage Retention Svcs,4550,240,FALSE,0
General Fund,City Clerk,Miscellaneous,Training & Travel & Reg,3500,0,FALSE,0
General Fund,City Clerk,Salaries and Wages,Expense Allowance,3298,0,FALSE,0
General Fund,City Clerk,Salaries and Wages,Longevity,10023.4,367,FALSE,0
General Fund,City Clerk,Salaries and Wages,Salaries-Ft,364961.28,46269.79,FALSE,0
General Fund,City Clerk,Salaries and Wages,Salaries-Ot For Ft Staff,9216,0,FALSE,0
General Fund,City Council,Capital Equipment,Computer Equip,17500,17500,FALSE,0
General Fund,City Council,Capital Equipment,Office Furniture & Equip,10000,5000,FALSE,0
General Fund,City Council,Direct Expenses,Cellular/Wireless Voice Lines,983,0,FALSE,0
General Fund,City Council,Direct Expenses,Computer Lease,2100,0,FALSE,0
General Fund,City Council,Direct Expenses,Computer Operations & Access,8650,0,FALSE,0
General Fund,City Council,Direct Expenses,Contractual Svcs-Other,38250,35000,FALSE,0
General Fund,City Council,Direct Expenses,Copier Maintenance/Impressions,4200,0,FALSE,0
General Fund,City Council,Direct Expenses,Office Supplies,2500,1000,FALSE,0
General Fund,City Council,Direct Expenses,Operational & Maint Supplies,3500,0,FALSE,0
General Fund,City Council,Direct Expenses,Photocopy Maint,2100,0,FALSE,0
General Fund,City Council,Direct Expenses,Print Copy-Rmb,1000,0,FALSE,0
General Fund,City Council,Direct Expenses,Repairs-Office Equip,200,0,FALSE,0
General Fund,City Council,Direct Expenses,Small Equipment,1200,0,FALSE,0
General Fund,City Council,Direct Expenses,Telephone/Comm (Hard Lines),300,0,FALSE,0
General Fund,City Council,Direct Expenses,Wireless Data Comm,4000,0,FALSE,0
General Fund,City Council,Employee Benefits,Dental Insurance,4120,-280,FALSE,0
General Fund,City Council,Employee Benefits,Dental Insurance Increment,,366.08,FALSE,0
General Fund,City Council,Employee Benefits,FICA Temp,1019.34,0,FALSE,0
General Fund,City Council,Employee Benefits,Group Life Ad & Di,114.3,7.2,FALSE,0
General Fund,City Council,Employee Benefits,Health Insurance,57600,4600,FALSE,0
General Fund,City Council,Employee Benefits,Health Insurance Increment,4262.4,8248,FALSE,0
General Fund,City Council,Employee Benefits,Medicare,1841.5,116,FALSE,0
General Fund,City Council,Employee Benefits,Medicare Temp,238.39,0,FALSE,0
General Fund,City Council,Employee Benefits,Retirement,8978.9,8978.9,FALSE,0
General Fund,City Council,Employee Benefits,Social Security,7874,496,FALSE,0
General Fund,City Council,Employee Benefits,Supplemental Retirement,3810,3810,FALSE,0
General Fund,City Council,Miscellaneous,Licenses/Dues & Publications,47400,0,FALSE,0
General Fund,City Council,Miscellaneous,Organization Dev & Training,100,100,FALSE,0
General Fund,City Council,Miscellaneous,Records Storage Retention Svcs,350,0,FALSE,0
General Fund,City Council,Miscellaneous,Training & Travel & Reg,30000,0,FALSE,0
General Fund,City Council,Salaries and Wages,Expense Allowance,16441,0,FALSE,0
General Fund,City Council,Salaries and Wages,Salaries-Ft,127000,8000,FALSE,0
General Fund,City Manager,Direct Expenses,Computer Lease,8400,-1450,FALSE,0
General Fund,City Manager,Direct Expenses,Computer Operations & Access,24112,17000,FALSE,0
General Fund,City Manager,Direct Expenses,Contractual Svcs-Other,5000,0,FALSE,0
General Fund,City Manager,Direct Expenses,Copier Maintenance/Impressions,4000,-1000,FALSE,0
General Fund,City Manager,Direct Expenses,Motor Pool Vehicle Use Costs,300,0,FALSE,0
General Fund,City Manager,Direct Expenses,Office Supplies,7000,-1500,FALSE,0
