LEVEL1,LEVEL2,LEVEL3,LEVEL4,TOOLTIP,SOURCE,SOURCE URL,2012,2013,2014,2015,2016,2017,LEVEL
Community Dev Block Grant,Community Development,Grant Year 2012/2013,Interfund Transfers In/Out,,,,,"216,593",,,,,4
Community Dev Block Grant,Community Development,Grant Year 2012/2013,Miscellaneous,,,,,"222,000",,,,,4
Community Dev Block Grant,Community Development,Grant Year 2012/2013,Other Expense,,,,,"774,667",,,,,4
Community Dev Block Grant,Community Development,Grant Year 2012/2013,Salaries and Wages,,,,,"689,139",,,,,4
Community Dev Block Grant,Community Development,Grant Year 2012/2013 Total,,,,,,"3,070,349",,,,,3
Community Dev Block Grant,Community Development,Grant Year 2013/2014,Capital Project Expense,,,,,,"512,660",,,,4
Community Dev Block Grant,Community Development,Grant Year 2013/2014,Direct Expenses,,,,,,"171,077",,,,4
Community Dev Block Grant,Community Development,Grant Year 2013/2014,Employee Benefits,,,,,,"91,020",,,,4
Community Dev Block Grant,Community Development,Grant Year 2013/2014,Interfund Transfers In/Out,,,,,,"226,649",,,,4
Community Dev Block Grant,Community Development,Grant Year 2013/2014,Miscellaneous,,,,,,"375,000",,,,4
Community Dev Block Grant,Community Development,Grant Year 2013/2014,Other Expense,,,,,,"1,280,588",,,,4
Community Dev Block Grant,Community Development,Grant Year 2013/2014,Salaries and Wages,,,,,,"612,927",,,,4
Community Dev Block Grant,Community Development,Grant Year 2013/2014 Total,,,,,,,"3,269,921",,,,3
Community Dev Block Grant,Community Development,Grant Year 2014/2015,Employee Benefits,,,,,,,"108,723",,,4
Community Dev Block Grant,Community Development,Grant Year 2014/2015,Salaries and Wages,,,,,,,"364,424",,,4
Community Dev Block Grant,Community Development,Grant Year 2014/2015 Total,,,,,,,,"473,147",,,3
Community Dev Block Grant,Community Development,Housing & Neighborhd Preserva,Direct Expenses,,,,,,,,"50,000","60,000",4
Community Dev Block Grant,Community Development,Housing & Neighborhd Preserva Total,,,,,,,,,"50,000","60,000",3
Community Dev Block Grant,Community Development,Housing Programs,Employee Benefits,,,,,,"101,139",,,,4
Community Dev Block Grant,Community Development,Housing Programs Total,,,,,,,"101,139",,,,3
Community Dev Block Grant,Community Development,Non Program Expenditures,Capital Project Expense,,,,,,,"662,000","313,500","823,000",4
Community Dev Block Grant,Community Development,Non Program Expenditures,Direct Expenses,,,,,,,"185,355","58,000","120,000",4
Community Dev Block Grant,Community Development,Non Program Expenditures,Employee Benefits,,,,,,,"74,904",,,4
Community Dev Block Grant,Community Development,Non Program Expenditures,Interfund Transfers In/Out,,,,,,,"151,773",200,,4
Community Dev Block Grant,Community Development,Non Program Expenditures,Miscellaneous,,,,,,,"120,000","25,500","238,734",4
Community Dev Block Grant,Community Development,Non Program Expenditures,Other Expense,,,,,,,"1,666,560","2,643,281","1,974,560",4
Community Dev Block Grant,Community Development,Non Program Expenditures,Salaries and Wages,,,,,,,"259,045",,,4
Community Dev Block Grant,Community Development,Non Program Expenditures Total,,,,,,,,"3,119,637","3,040,481","3,156,294",3
Community Dev Block Grant,Community Development,S Wilmington St Cntr,Other Expense,,,,,,,,"100,000",,4
Community Dev Block Grant,Community Development,S Wilmington St Cntr Total,,,,,,,,,"100,000",,3
Community Dev Block Grant,Community Development Total,,,,,,"2,782,326","3,188,849","3,371,060","3,653,829","3,965,369","4,318,661",2
Community Dev Block Grant Total,,,,,,,"2,782,326","3,188,849","3,371,060","3,653,829","3,965,369","4,318,661",1
Convention Center Financing Fund-Special Revenue,Finance Administration,Non Program Expenditures,Capital Project Expense,Convention Center Financing Fund - Special Revenue,,,,,,,"1,432,191","4,249,539",4
Convention Center Financing Fund-Special Revenue,Finance Administration,Non Program Expenditures,Interfund Transfers In/Out,Convention Center Financing Fund - Special Revenue,,,"14,301,000","4,933,455","5,743,018","6,292,000","4,082,825","5,727,750",4
Convention Center Financing Fund-Special Revenue,Finance Administration,Non Program Expenditures Total,,Convention Center Financing Fund - Special Revenue,,,"14,301,000","4,933,455","5,743,018","6,292,000","5,515,016","9,977,289",3
Convention Center Financing Fund-Special Revenue,Finance Administration,Wake County,Direct Expenses,Convention Center Financing Fund - Special Revenue,,,,,,"4,100,000","500,000","500,000",4
Convention Center Financing Fund-Special Revenue,Finance Administration,Wake County Total,,Convention Center Financing Fund - Special Revenue,,,,,,"4,100,000","500,000","500,000",3
Convention Center Financing Fund-Special Revenue,Finance Administration Total,,,Convention Center Financing Fund - Special Revenue,,,"14,301,000","4,933,455","5,743,018","10,392,000","6,015,016","10,477,289",2
Convention Center Financing Fund-Special Revenue,Treasury Office,Non Program Expenditures,Capital Project Expense,Convention Center Financing Fund - Special Revenue,,,,"626,375","1,466,142",,,,4
Convention Center Financing Fund-Special Revenue,Treasury Office,Non Program Expenditures,Interfund Transfers In/Out,Convention Center Financing Fund - Special Revenue,,,,"11,153,370","11,188,570","18,476,000","18,476,920","18,475,783",4
Convention Center Financing Fund-Special Revenue,Treasury Office,Non Program Expenditures Total,,Convention Center Financing Fund - Special Revenue,,,,"11,779,745","12,654,712","18,476,000","18,476,920","18,475,783",3
Convention Center Financing Fund-Special Revenue,Treasury Office,Rcc Marketing/Booking Program,Direct Expenses,Convention Center Financing Fund - Special Revenue,,,,"450,000","450,000","450,000","450,000","450,000",4
Convention Center Financing Fund-Special Revenue,Treasury Office,Rcc Marketing/Booking Program Total,,Convention Center Financing Fund - Special Revenue,,,,"450,000","450,000","450,000","450,000","450,000",3
Convention Center Financing Fund-Special Revenue,Treasury Office Total,,,Convention Center Financing Fund - Special Revenue,,,,"12,229,745","13,104,712","18,926,000","18,926,920","18,925,783",2
Convention Center Financing Fund-Special Revenue Total,,,,,,,"14,301,000","17,163,200","18,847,730","29,318,000","24,941,936","29,403,072",1
E 911 State Tax Fund-Operating,Emergency Communications,Emergency Phone Sys (NC)-ECC,Capital Equipment,,,,"27,000","27,000","28,400","28,400","23,400","23,400",4
E 911 State Tax Fund-Operating,Emergency Communications,Emergency Phone Sys (NC)-ECC,Direct Expenses,,,,"1,900,016","1,965,151","1,972,151","2,059,718","2,724,836","2,358,918",4
E 911 State Tax Fund-Operating,Emergency Communications,Emergency Phone Sys (NC)-ECC,Employee Benefits,,,,"100,672","134,514","265,377","110,652","101,487","143,883",4
E 911 State Tax Fund-Operating,Emergency Communications,Emergency Phone Sys (NC)-ECC,Miscellaneous,,,,"20,080","20,080","31,510","35,310","16,700","20,200",4
E 911 State Tax Fund-Operating,Emergency Communications,Emergency Phone Sys (NC)-ECC,Other Expense,,,,,900,900,900,,,4
E 911 State Tax Fund-Operating,Emergency Communications,Emergency Phone Sys (NC)-ECC,Salaries and Wages,,,,"350,465","341,544","382,827","399,893","414,213","473,332",4
E 911 State Tax Fund-Operating,Emergency Communications,Emergency Phone Sys (NC)-ECC Total,,,,,"2,398,233","2,489,189","2,681,165","2,634,873","3,280,636","3,019,732",3
E 911 State Tax Fund-Operating,Emergency Communications Total,,,,,,"2,398,233","2,489,189","2,681,165","2,634,873","3,280,636","3,019,732",2
E 911 State Tax Fund-Operating Total,,,,,,,"2,398,233","2,489,189","2,681,165","2,634,873","3,280,636","3,019,732",1
Economic Development Fund,Budget & Management Services,Economic Dev,Direct Expenses,,,,,"68,053","2,500","2,500","3,500","3,500",4
Economic Development Fund,Budget & Management Services,Economic Dev,Interfund Transfers In/Out,,,,,,,"27,500",,,4
Economic Development Fund,Budget & Management Services,Economic Dev Total,,,,,,"68,053","2,500","30,000","3,500","3,500",3
Economic Development Fund,Budget & Management Services Total,,,,,,,"68,053","2,500","30,000","3,500","3,500",2
Economic Development Fund,City Manager,Sbsf Loan Program Expenses,Direct Expenses,,,,,"5,000","1,000",,,,4
Economic Development Fund,City Manager,Sbsf Loan Program Expenses Total,,,,,,"5,000","1,000",,,,3
Economic Development Fund,City Manager Total,,,,,,,"5,000","1,000",,,,2
Economic Development Fund,Economic Development,Capital City Band Expo,Other Expense,,,,"1,350",,,,,,4
Economic Development Fund,Economic Development,Capital City Band Expo Total,,,,,"1,350",,,,,,3
Economic Development Fund,Economic Development,Chamber Of Comm Proj,Direct Expenses,,,,"220,000",,,,,,4
Economic Development Fund,Economic Development,Chamber Of Comm Proj Total,,,,,"220,000",,,,,,3
Economic Development Fund,Economic Development,Downtown Development,Direct Expenses,,,,"120,500",,,,,,4
Economic Development Fund,Economic Development,Downtown Development Total,,,,,"120,500",,,,,,3
Economic Development Fund,Economic Development,Economic Dev,Direct Expenses,,,,"221,670",,,,,,4
Economic Development Fund,Economic Development,Economic Dev Total,,,,,"221,670",,,,,,3
Economic Development Fund,Economic Development,Economic Incentives,Direct Expenses,,,,"150,000",,,,,,4
Economic Development Fund,Economic Development,Economic Incentives Total,,,,,"150,000",,,,,,3
Economic Development Fund,Economic Development,Fayetteville St Internet,Direct Expenses,,,,"4,500",,,,,,4
Economic Development Fund,Economic Development,Fayetteville St Internet Total,,,,,"4,500",,,,,,3
Economic Development Fund,Economic Development,Green Square Project,Direct Expenses,,,,"900,000",,,,,,4
Economic Development Fund,Economic Development,Green Square Project Total,,,,,"900,000",,,,,,3
Economic Development Fund,Economic Development,Hillsborough St Dev,Direct Expenses,,,,"100,000",,,,,,4
Economic Development Fund,Economic Development,Hillsborough St Dev Total,,,,,"100,000",,,,,,3
Economic Development Fund,Economic Development,Sbsf Loan Program Expenses,Direct Expenses,,,,"4,000",,,,,,4
Economic Development Fund,Economic Development,Sbsf Loan Program Expenses Total,,,,,"4,000",,,,,,3
Economic Development Fund,Economic Development,Se Raleigh Assembly,Other Expense,,,,"207,000",,,,,,4
Economic Development Fund,Economic Development,Se Raleigh Assembly Total,,,,,"207,000",,,,,,3
Economic Development Fund,Economic Development,St. Aug Stadium Interlocal Pro,Direct Expenses,,,,"100,000",,,,,,4
Economic Development Fund,Economic Development,St. Aug Stadium Interlocal Pro Total,,,,,"100,000",,,,,,3
Economic Development Fund,Economic Development,Triangle J Cog,Other Expense,,,,"101,099",,,,,,4
Economic Development Fund,Economic Development,Triangle J Cog Total,,,,,"101,099",,,,,,3
Economic Development Fund,Economic Development,Wakefield Band Expo,Other Expense,,,,"1,350",,,,,,4
Economic Development Fund,Economic Development,Wakefield Band Expo Total,,,,,"1,350",,,,,,3
Economic Development Fund,Economic Development Total,,,,,,"2,131,469",,,,,,2
Economic Development Fund,Finance Administration,Green Square Project,Direct Expenses,,,,,"800,000","295,650","400,000","400,000",,4
Economic Development Fund,Finance Administration,Green Square Project Total,,,,,,"800,000","295,650","400,000","400,000",,3
Economic Development Fund,Finance Administration,St. Aug Stadium Interlocal Pro,Direct Expenses,,,,,"100,000","100,000","100,000","100,000","100,000",4
Economic Development Fund,Finance Administration,St. Aug Stadium Interlocal Pro Total,,,,,,"100,000","100,000","100,000","100,000","100,000",3
Economic Development Fund,Finance Administration Total,,,,,,,"900,000","395,650","500,000","500,000","100,000",2
Economic Development Fund,Information Technology Admin,Economic Dev,Direct Expenses,,,,,"162,000","152,000",,,,4
Economic Development Fund,Information Technology Admin,Economic Dev Total,,,,,,"162,000","152,000",,,,3
Economic Development Fund,Information Technology Admin,Se Raleigh Assembly,Other Expense,,,,,"207,000","207,000",,,,4
Economic Development Fund,Information Technology Admin,Se Raleigh Assembly Total,,,,,,"207,000","207,000",,,,3
Economic Development Fund,Information Technology Admin Total,,,,,,,"369,000","359,000",,,,2
Economic Development Fund,Office of Economic Development,Chamber Of Comm Proj,Direct Expenses,,,,,,,"170,000","170,000","170,000",4
Economic Development Fund,Office of Economic Development,Chamber Of Comm Proj Total,,,,,,,,"170,000","170,000","170,000",3
Economic Development Fund,Office of Economic Development,Downtown Development,Direct Expenses,,,,,,,"108,450","108,450","108,450",4
Economic Development Fund,Office of Economic Development,Downtown Development Total,,,,,,,,"108,450","108,450","108,450",3
Economic Development Fund,Office of Economic Development,Economic Dev,Direct Expenses,,,,,,,"210,000","280,000","450,000",4
Economic Development Fund,Office of Economic Development,Economic Dev,Other Expense,,,,,,,"202,000","66,000","80,000",4
Economic Development Fund,Office of Economic Development,Economic Dev Total,,,,,,,,"412,000","346,000","530,000",3
Economic Development Fund,Office of Economic Development,Economic Incentives,Direct Expenses,,,,,,,"150,000","150,000","150,000",4
Economic Development Fund,Office of Economic Development,Economic Incentives Total,,,,,,,,"150,000","150,000","150,000",3
Economic Development Fund,Office of Economic Development,Green Square Project,Direct Expenses,,,,,,,"100,000","100,000","120,000",4
Economic Development Fund,Office of Economic Development,Green Square Project Total,,,,,,,,"100,000","100,000","120,000",3
Economic Development Fund,Office of Economic Development,Hillsborough St Dev,Direct Expenses,,,,,,,"131,000","125,513","125,513",4
Economic Development Fund,Office of Economic Development,Hillsborough St Dev Total,,,,,,,,"131,000","125,513","125,513",3
Economic Development Fund,Office of Economic Development,RDU Airport Authority,Other Expense,,,,,,,"12,500","12,500","12,500",4
Economic Development Fund,Office of Economic Development,RDU Airport Authority Total,,,,,,,,"12,500","12,500","12,500",3
Economic Development Fund,Office of Economic Development,Se Raleigh Assembly,Other Expense,,,,,,,"207,000","155,981","101,829",4
Economic Development Fund,Office of Economic Development,Se Raleigh Assembly Total,,,,,,,,"207,000","155,981","101,829",3
Economic Development Fund,Office of Economic Development,Triangle J Cog,Other Expense,,,,,,,"115,000","115,000","125,000",4
Economic Development Fund,Office of Economic Development,Triangle J Cog Total,,,,,,,,"115,000","115,000","125,000",3
Economic Development Fund,Office of Economic Development Total,,,,,,,,,"1,405,950","1,283,444","1,443,292",2
Economic Development Fund,Planning,Capital City Band Expo,Other Expense,,,,,"1,350","1,350",,,,4
Economic Development Fund,Planning,Capital City Band Expo Total,,,,,,"1,350","1,350",,,,3
Economic Development Fund,Planning,Chamber Of Comm Proj,Direct Expenses,,,,,"220,000","220,000",,,,4
Economic Development Fund,Planning,Chamber Of Comm Proj Total,,,,,,"220,000","220,000",,,,3
Economic Development Fund,Planning,Downtown Development,Direct Expenses,,,,,"108,450","158,450",,,,4
Economic Development Fund,Planning,Downtown Development Total,,,,,,"108,450","158,450",,,,3
Economic Development Fund,Planning,Economic Dev,Direct Expenses,,,,,"100,000","100,000",,,,4
Economic Development Fund,Planning,Economic Dev Total,,,,,,"100,000","100,000",,,,3
Economic Development Fund,Planning,Economic Incentives,Direct Expenses,,,,,"150,000","150,000",,,,4
Economic Development Fund,Planning,Economic Incentives Total,,,,,,"150,000","150,000",,,,3
Economic Development Fund,Planning,Hillsborough St Dev,Direct Expenses,,,,,"106,000","131,000",,,,4
Economic Development Fund,Planning,Hillsborough St Dev Total,,,,,,"106,000","131,000",,,,3
Economic Development Fund,Planning,Triangle J Cog,Other Expense,,,,,"101,099","101,462",,,,4
Economic Development Fund,Planning,Triangle J Cog Total,,,,,,"101,099","101,462",,,,3
Economic Development Fund,Planning,Wakefield Band Expo,Other Expense,,,,,"1,350","1,350",,,,4
Economic Development Fund,Planning,Wakefield Band Expo Total,,,,,,"1,350","1,350",,,,3
Economic Development Fund,Planning Total,,,,,,,"788,249","863,612",,,,2
Economic Development Fund Total,,,,,,,"2,131,469","2,130,302","1,621,762","1,935,950","1,786,944","1,546,792",1
Emergency Shelter Grant,Community Development,Grant Year 11/12,Other Expense,,,,"108,680",,,,,,4
Emergency Shelter Grant,Community Development,Grant Year 11/12 Total,,,,,"108,680",,,,,,3
Emergency Shelter Grant,Community Development,Grant Year 2012/2013,Other Expense,,,,,"195,403",,,,,4
Emergency Shelter Grant,Community Development,Grant Year 2012/2013 Total,,,,,,"195,403",,,,,3
Emergency Shelter Grant,Community Development,Grant Year 2013/2014,Other Expense,,,,,,"178,932",,,,4
Emergency Shelter Grant,Community Development,Grant Year 2013/2014 Total,,,,,,,"178,932",,,,3
Emergency Shelter Grant,Community Development,Non Program Expenditures,Other Expense,,,,,,,"217,085",,,4
Emergency Shelter Grant,Community Development,Non Program Expenditures Total,,,,,,,,"217,085",,,3
Emergency Shelter Grant,Community Development Total,,,,,,"108,680","195,403","178,932","217,085",,,2
Emergency Shelter Grant Total,,,,,,,"108,680","195,403","178,932","217,085",,,1
Emergency Solution Grant,Community Development,Non Program Expenditures,Other Expense,,,,,,,,"239,845","239,845",4
Emergency Solution Grant,Community Development,Non Program Expenditures Total,,,,,,,,,"239,845","239,845",3
Emergency Solution Grant,Community Development Total,,,,,,,,,,"239,845","239,845",2
Emergency Solution Grant Total,,,,,,,,,,,"239,845","239,845",1
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Direct Expenses,,,,,,,,"1,593,795",,4
General Debt Service Fund,Non-Departmental,Non-Program Revenues Total,,,,,,,,,"1,593,795",,3
General Debt Service Fund,Non-Departmental Total,,,,,,,,,,"1,593,795",,2
General Debt Service Fund,Treasury Office,2014 B LOB CPSC/FS12/Pk Ref,Capital Project Expense,,,,,,,,"2,009,000","5,257,081",4
General Debt Service Fund,Treasury Office,2014 B LOB CPSC/FS12/Pk Ref Total,,,,,,,,,"2,009,000","5,257,081",3
General Debt Service Fund,Treasury Office,2015 Fire Station 14,Capital Project Expense,,,,,,,,"1,131,400",,4
General Debt Service Fund,Treasury Office,2015 Fire Station 14 Total,,,,,,,,,"1,131,400",,3
General Debt Service Fund,Treasury Office,2016 Bk Loan Dix Park,Capital Project Expense,,,,,,,,,"6,276,920",4
General Debt Service Fund,Treasury Office,2016 Bk Loan Dix Park Total,,,,,,,,,,"6,276,920",3
General Debt Service Fund,Treasury Office,2016 LOBs,Capital Project Expense,,,,,,,,,"3,017,500",4
General Debt Service Fund,Treasury Office,2016 LOBs Total,,,,,,,,,,"3,017,500",3
General Debt Service Fund,Treasury Office,Amphth/Softball Cops,Capital Project Expense,,,,"949,397","949,398","949,398","949,400","949,400",,4
General Debt Service Fund,Treasury Office,Amphth/Softball Cops Total,,,,,"949,397","949,398","949,398","949,400","949,400",,3
General Debt Service Fund,Treasury Office,Barw Rd/Brier Crk/Pud Op Ctr C,Capital Project Expense,,,,"803,725","782,338","760,213","736,700","736,700","688,613",4
General Debt Service Fund,Treasury Office,Barw Rd/Brier Crk/Pud Op Ctr C Total,,,,,"803,725","782,338","760,213","736,700","736,700","688,613",3
General Debt Service Fund,Treasury Office,Boa Mst Inst Schd 2-Remote Ops,Capital Project Expense,,,,"1,220,307","1,220,308","1,220,308","1,220,400","1,220,400",,4
General Debt Service Fund,Treasury Office,Boa Mst Inst Schd 2-Remote Ops Total,,,,,"1,220,307","1,220,308","1,220,308","1,220,400","1,220,400",,3
General Debt Service Fund,Treasury Office,Bond Issuance Costs,Capital Project Expense,,,,"100,000","100,000","100,000","100,000","100,000",,4
General Debt Service Fund,Treasury Office,Bond Issuance Costs Total,,,,,"100,000","100,000","100,000","100,000","100,000",,3
General Debt Service Fund,Treasury Office,CELPSC Remote Ops COPS Ser 200,Capital Project Expense,,,,"3,094,946","3,027,985","2,831,661","2,766,400","2,766,400","2,632,102",4
General Debt Service Fund,Treasury Office,CELPSC Remote Ops COPS Ser 200 Total,,,,,"3,094,946","3,027,985","2,831,661","2,766,400","2,766,400","2,632,102",3
General Debt Service Fund,Treasury Office,Critical PS Ctr S2014 LOBs,Capital Project Expense,,,,,,,"2,009,000",,,4
General Debt Service Fund,Treasury Office,Critical PS Ctr S2014 LOBs Total,,,,,,,,"2,009,000",,,3
General Debt Service Fund,Treasury Office,DTW OPS 8/13 LOBS,Capital Project Expense,,,,,,"2,000,000","4,541,700","4,541,700","4,937,553",4
General Debt Service Fund,Treasury Office,DTW OPS 8/13 LOBS Total,,,,,,,"2,000,000","4,541,700","4,541,700","4,937,553",3
General Debt Service Fund,Treasury Office,Fayetteville St Ext-2007 Cops,Capital Project Expense,,,,"572,675","559,475","546,275","533,100","533,100","344,100",4
General Debt Service Fund,Treasury Office,Fayetteville St Ext-2007 Cops Total,,,,,"572,675","559,475","546,275","533,100","533,100","344,100",3
General Debt Service Fund,Treasury Office,Fayetteville St Renaissance,Capital Project Expense,,,,"820,769","816,569","805,582","642,600","642,600",,4
General Debt Service Fund,Treasury Office,Fayetteville St Renaissance Total,,,,,"820,769","816,569","805,582","642,600","642,600",,3
General Debt Service Fund,Treasury Office,Fire Stations 12 & 14,Capital Project Expense,,,,,,,"1,131,400",,,4
General Debt Service Fund,Treasury Office,Fire Stations 12 & 14 Total,,,,,,,,"1,131,400",,,3
General Debt Service Fund,Treasury Office,General Debt Service,Capital Project Expense,,,,"30,237,718","35,769,886","36,201,431","37,048,500","53,109,127",,4
General Debt Service Fund,Treasury Office,General Debt Service,Direct Expenses,,,,"1,285,000","1,285,000","1,285,000","1,285,000","1,285,000",,4
General Debt Service Fund,Treasury Office,General Debt Service Total,,,,,"31,522,718","37,054,886","37,486,431","38,333,500","54,394,127",,3
General Debt Service Fund,Treasury Office,General Debt Svc,Capital Project Expense,,,,,,,,,"35,580,268",4
General Debt Service Fund,Treasury Office,General Debt Svc,Direct Expenses,,,,,,,,,"1,440,475",4
General Debt Service Fund,Treasury Office,General Debt Svc Total,,,,,,,,,,"37,020,743",3
General Debt Service Fund,Treasury Office,Martin De Porres/Ral Fed 94/95,Capital Project Expense,,,,"64,964","64,965","64,966","28,700","28,700",,4
General Debt Service Fund,Treasury Office,Martin De Porres/Ral Fed 94/95 Total,,,,,"64,964","64,965","64,966","28,700","28,700",,3
General Debt Service Fund,Treasury Office,Non Program Expenditures,Capital Project Expense,,,,,,,,,"7,402,948",4
General Debt Service Fund,Treasury Office,Non Program Expenditures Total,,,,,,,,,,"7,402,948",3
General Debt Service Fund,Treasury Office,PAC 5/13 Draw Program,Capital Project Expense,,,,,,"220,000","220,000","220,000",,4
General Debt Service Fund,Treasury Office,PAC 5/13 Draw Program Total,,,,,,,"220,000","220,000","220,000",,3
General Debt Service Fund,Treasury Office,Rbc-Install Finan - Erp,Capital Project Expense,,,,"3,681,000","3,576,888","3,239,788","3,187,000","3,187,000","3,081,387",4
General Debt Service Fund,Treasury Office,Rbc-Install Finan - Erp Total,,,,,"3,681,000","3,576,888","3,239,788","3,187,000","3,187,000","3,081,387",3
General Debt Service Fund,Treasury Office,Remote Ops Fac-Set 2010,Capital Project Expense,,,,"3,918,033","3,843,633","2,291,371","2,254,600","2,254,600","2,199,077",4
General Debt Service Fund,Treasury Office,Remote Ops Fac-Set 2010 Total,,,,,"3,918,033","3,843,633","2,291,371","2,254,600","2,254,600","2,199,077",3
General Debt Service Fund,Treasury Office,Sewer Revolving Loan Principal,Capital Project Expense,,,,"6,988","6,988","6,988",,,,4
General Debt Service Fund,Treasury Office,Sewer Revolving Loan Principal Total,,,,,"6,988","6,988","6,988",,,,3
General Debt Service Fund,Treasury Office,Sewer St Bond Loan Principal,Direct Expenses,,,,"321,099",,,,,,4
General Debt Service Fund,Treasury Office,Sewer St Bond Loan Principal Total,,,,,"321,099",,,,,,3
General Debt Service Fund,Treasury Office,Transfer Station-Sws Debt Serv,Capital Project Expense,,,,"637,513","640,113","127,423","127,800","127,800","80,300",4
General Debt Service Fund,Treasury Office,Transfer Station-Sws Debt Serv Total,,,,,"637,513","640,113","127,423","127,800","127,800","80,300",3
General Debt Service Fund,Treasury Office,VFD Debt Svc Reimbursement,Capital Project Expense,,,,,"50,000","50,000","50,000","50,000","50,000",4
General Debt Service Fund,Treasury Office,VFD Debt Svc Reimbursement Total,,,,,,"50,000","50,000","50,000","50,000","50,000",3
General Debt Service Fund,Treasury Office Total,,,,,,"47,714,134","52,693,546","52,700,404","58,832,300","74,892,927","72,988,324",2
General Debt Service Fund Total,,,,,,,"47,714,134","52,693,546","52,700,404","58,832,300","76,486,722","72,988,324",1
