Fund,Department,Type,Account,Current,Amount,Revenue,Annotation
Sewer Reuse/Infrastructure Fd,Non-Departmental,Interfund Transfers In/Out,To 325 Sewer Cip,11220000,2685000,FALSE,0
General Fund,Engineering Services,Salaries and Wages,Salaries-Ft,2620721,2620721,FALSE,0
General Fund,Land Development Services,Salaries and Wages,Salaries-Ft,2575244,2575244,FALSE,0
Public Transit Fund-Operatingin,Transit Operatingions -Trans Sv,Miscellaneous,Contracted Transit Route Reimb,2506654,2506654,FALSE,0
Public Utilities Fund,Public Utilities-Spec Appropri,Interfund Transfers In/Out,To 315 Pub Util Deb Svc,59500000,2400000,FALSE,0
General Fund,Facilities Maint-Eng Svcs,Salaries and Wages,Salaries-Ft,2303371,2303371,FALSE,0
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Service Contracts-Other,2050759,2050759,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Service Contracts-Other,2032040,2032040,FALSE,0
General Fund,Transportation Services,Direct Expenses,Operatingional & Maint Supplies,2011851,2011851,FALSE,0
General Fund,Stormwater St Maint-Tran Svcs,Salaries and Wages,Salaries-Ft,1869518,1869518,FALSE,0
Water Infrastructure,Non-Departmental,Interfund Transfers In/Out,To 320 Water Bond,5440000,1720000,FALSE,0
Convention Center Financing Fun,Finance Administration,Interfund Transfers In/Out,To 648 New Rcc Complex Fund,2709000,1557000,FALSE,0
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Electric Service,1556969,1556969,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Salaries and Wages,Salaries-Ft,1520137,1520137,FALSE,0
Utility Debt Service Fund,Treasury Office,Capital Project Expense,Bond Interest,32157065,1411283,FALSE,0
General Fund,Transportation Services,Employee Benefits,Health Insurance,1394800,1394800,FALSE,0
Transit CAMPO Fund,CAMPO-Trans Svcs,Direct Expenses,Contractual Svcs-Other,1357315,1357315,FALSE,0
General Fund,Transportation Services,Direct Expenses,Equipment Usage Charge,1299378,1299378,FALSE,0
General Fund,Development Engineering Servic,Salaries and Wages,Salaries-Ft,1208496,1208496,FALSE,0
General Fund,IT Application Support,Direct Expenses,Computer Operatingions & Access,2511887,1193111,FALSE,0
General Fund,Park Facility Maintenance,Salaries and Wages,Salaries-Ft,1073664,1073664,FALSE,0
General Fund,Transportation Services,Direct Expenses,Vehicle Maint & Operatingion,1048491,1048491,FALSE,0
Public Utilities Fund,Public Utilities Admin,Salaries and Wages,Salary Reserve,1045292,1045292,FALSE,0
General Fund,Special Appropriations,Interfund Transfers In/Out,To 505 Misc Capital Proj,5040000,1040000,FALSE,0
Public Utilities Fund,Public Utilities Customer Care ,Direct Expenses,Credit Card Fees,1005000,1005000,FALSE,0
Public Transit Fund-Operatingin,Transit Operatingions -Trans Sv,Direct Expenses,Contractual Svcs-Other,1004322,1004322,FALSE,0
Utility Debt Service Fund,Treasury Office,Other Expense,Bond Issue Costs,1000000,1000000,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Salaries and Wages,Salaries-Ft,990655,990655,FALSE,0
Housing Development-Operatingin,Community Development,Other Expense,Grant Expend Reimb,,975856,FALSE,0
General Fund,Police Administrative Services,Direct Expenses,Contractual Svcs-Other,1839988,952988,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Contractual Svcs-Other,947563,947563,FALSE,0
General Fund,PRCR - Recreation,Direct Expenses,Electric Service,906345,906345,FALSE,0
Transit CAMPO Fund,CAMPO-Trans Svcs,Salaries and Wages,Salaries-Ft,894136,894136,FALSE,0
Public Utilities Fund,Public Utilities Customer Care ,Miscellaneous,Postage,842800,842800,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Interfund Transfers In/Out,To 446 Parking Facilities Fund,812000,812000,FALSE,0
General Fund,Safelight-Tran Svcs,Direct Expenses,Contractual Svcs-Other,786000,786000,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Equipment Usage Charge,758508,758508,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Operatingional & Maint Supplies,757703,757703,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Employee Benefits,Health Insurance,732190,732190,FALSE,0
Community Development Block Gra,Community Development,Other Expense,Rehabilitation/Rehab Loans - G,700000,700000,FALSE,0
Grants Fund,Transit - Trans Svcs,Direct Expenses,Contractual Svcs-Other,700000,700000,FALSE,0
Community Development Block Gra,Community Development,Capital Project Expense,Acquisition Costs,773000,684500,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Repairs-Other Equip,677500,677500,FALSE,0
General Fund,Special Appropriations,Interfund Transfers In/Out,To 515 Sidewalk,661000,661000,FALSE,0
Community Development Block Gra,Community Development,Salaries and Wages,Salaries-Ft,649701,649701,FALSE,0
General Fund,Fire Operatingions,Employee Benefits,Health Insurance Increment,312250,635249,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Direct Expenses,Electric Service,607135,607135,FALSE,0
General Fund,Transportation Services,Employee Benefits,Retirement,592144,592144,FALSE,0
Public Utilities Fund,Public Utilities Customer Care ,Direct Expenses,Contractual Svcs-Other,590400,590400,FALSE,0
General Fund,Police Field Operatingions,Employee Benefits,Health Insurance Increment,293786,588184,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Interfund Transfers In/Out,To 100 Ind Cost,580085,580085,FALSE,0
General Fund,Building & Safety Services,Employee Benefits,Health Insurance,565056,565056,FALSE,0
General Fund,PRCR - Parks -Park Maintenance,Salaries and Wages,Salaries-Ft,5320196,550318,FALSE,0
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Rental-Real Property,542955,542955,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Residential Collec,Miscellaneous,Landfill Charges,4785600,539150,FALSE,0
Grants Fund,Transit - Trans Svcs,Salaries and Wages,Salaries-Ft,532286,532286,FALSE,0
General Fund,Special Appropriations,Employee Benefits,Health Insurance (Retiree),8643183,522057,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Rsv-Contingency,515332,515332,FALSE,0
General Fund,Transportation Services,Employee Benefits,Social Security,507464,507464,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Interfund Transfers In/Out,To 251 Equip Replacement-Gen G,500000,500000,FALSE,0
Public Transit Fund-Operatingin,Transit Operatingions -Trans Sv,Interfund Transfers In/Out,To 100 Ind Cost,495247,495247,FALSE,0
General Fund,Transportation Services,Direct Expenses,Motor Fuels & Lubricants,490969,490969,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Residential Collec,Direct Expenses,Equipment Usage Charge,3350480,485100,FALSE,0
General Fund,Transportation Services,Direct Expenses,Contractual Svcs-Other,479768,479768,FALSE,0
Public Utilities Fund,Public Utilities Customer Care ,Employee Benefits,Health Insurance,458763,458763,FALSE,0
General Fund,Fire Operatingions,Direct Expenses,Equipment Usage Charge,1129390,450000,FALSE,0
General Fund,PRCR - Parks -Park Maintenance,Direct Expenses,Electric Service,438618,438618,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintena,Direct Expenses,Equipment Usage Charge,1863522,438470,FALSE,0
General Fund,Emergency Communications,Salaries and Wages,Salaries-Ft,5201115,428496,FALSE,0
General Fund,Stormwater St Maint-Tran Svcs,Direct Expenses,Equipment Usage Charge,421640,421640,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Employee Benefits,Retirement,412019,412019,FALSE,0
General Fund,Engineering Services,Employee Benefits,Health Insurance,403248,403248,FALSE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Employee Benefits,Health Insurance,403042,403042,FALSE,0
General Fund,Stormwater St Maint-Tran Svcs,Direct Expenses,Operatingional & Maint Supplies,402325,402325,FALSE,0
Public Transit Fund-Operatingin,Transit Operatingions -Trans Sv,Direct Expenses,Management Services,400470,400470,FALSE,0
General Fund,Stormwater St Maint-Tran Svcs,Direct Expenses,Lease-Other,398260,398260,FALSE,0
Public Utilities Fund,Public Utilities-Spec Appropri,Employee Benefits,Health Insurance (Retiree),1613644,390856,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintena,Salaries and Wages,Salaries-Ft,4722630,380822,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Vehicle Maint & Operatingion,375200,375200,FALSE,0
General Fund,Stormwater St Maint-Tran Svcs,Employee Benefits,Health Insurance,372463,372463,FALSE,0
General Fund,Facilities Maint-Eng Svcs,Employee Benefits,Health Insurance,364529,364529,FALSE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Interfund Transfers In/Out,To 310 Reimb Indirect Cost,357956,357956,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Employee Benefits,Social Security,352476,352476,FALSE,0
RCC/PAC Debt Svc Fund,Treasury Office,Capital Project Expense,Bond Principal,8040000,345000,FALSE,0
General Fund,PRCR - Recreation,Salaries and Wages,Salaries-Ft,6140886,341316,FALSE,0
General Fund,PRCR - Parks -Park Maintenance,Interfund Transfers In/Out,To 310 W/S Reimb,340842,340842,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Salaries and Wages,Salaries-Ot For Ft Staff,322560,322560,FALSE,0
General Fund,Building & Safety Services,Employee Benefits,Retirement,322104,322104,FALSE,0
General Fund,PRCR - Resources,Salaries and Wages,Salaries-Ft,2749521,321611,FALSE,0
General Fund,Public Affairs,Salaries and Wages,Salaries-Ft,1177339,318989,FALSE,0
General Debt Service Fund,Treasury Office,Direct Expenses,Bond Liquidity Fees,303650,303650,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Motor Fuels & Lubricants,303569,303569,FALSE,0
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Operatingional & Maint Supplies,300098,300098,FALSE,0
General Fund,Facilities Maint-Eng Svcs,Capital Equipment,Office Furniture & Equip,300000,300000,FALSE,0
General Fund,Stormwater St Maint-Tran Svcs,Direct Expenses,Vehicle Maint & Operatingion,300000,300000,FALSE,0
General Fund,Land Development Services,Employee Benefits,Health Insurance,294394,294394,FALSE,0
General Fund,Arts Appropriations,Other Expense,Arts & Culture,2587289,291727,FALSE,0
Public Transit Fund-Operatingin,Transit Operatingions -Trans Sv,Interfund Transfers In/Out,To 810 Grants/Grants Match,290838,290838,FALSE,0
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Repairs-Bldg/Structure,289112,289112,FALSE,0
General Fund,Special Appropriations,Interfund Transfers In/Out,To 735 Housing Operatingions,1265157,285794,FALSE,0
General Fund,Building & Safety Services,Employee Benefits,Social Security,275593,275593,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Repairs-Bldg/Structure,274982,274982,FALSE,0
General Fund,PRCR - Resources,Direct Expenses,Electric Service,271799,271799,FALSE,0
Public Transit Fund-Operatingin,Accessible Rail Tran-Tran Svcs,Salaries and Wages,Salaries-Ft,270087,270087,FALSE,0
General Fund,Human Resources,Salaries and Wages,Salaries-Ft,2271968,268286,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Direct Expenses,Rental-Real Property,267600,267600,FALSE,0
General Fund,Engineering Services,Other Expense,To Isf-Sir Workers Comp,262438,262438,FALSE,0
General Fund,Police Detective Division,Employee Benefits,Health Insurance Increment,126841,261249,FALSE,0
General Fund,Transportation Services,Salaries and Wages,Salaries-Ot For Ft Staff,251237,251237,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Service Contracts-Other,251154,251154,FALSE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Employee Benefits,Retirement,250187,250187,FALSE,0
General Fund,Public Affairs,Direct Expenses,Contractual Svcs-Other,707300,250032,FALSE,0
General Fund,Police Detective Division,Direct Expenses,Lease-Equipment,250700,246700,FALSE,0
General Fund,Purchasing,Salaries and Wages,Salaries-Ft,667483,238150,FALSE,0
Public Utilities Fund,Public Utilities Water Plant,Salaries and Wages,Salaries-Ft,4543120,237265,FALSE,0
General Fund,Special Appropriations,Interfund Transfers In/Out,To 410 Transit Oper,11995566,236504,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Capital Equipment,Capital Equipment-Other,227500,227500,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Employee Benefits,Health Insurance,226953,226953,FALSE,0
General Fund,IT Enterprise Infrastructure M,Direct Expenses,Contractual Svcs-Other,295300,226800,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Admin,Interfund Transfers In/Out,To 310 Public Utilities for Cus,222983,222983,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Motor Fuel/Lub for Equip Use,221470,221470,FALSE,0
General Fund,PRCR - Recreation,Direct Expenses,Natural Gas Svc,218043,218043,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Operatingional & Maint Supplies,215000,215000,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Direct Expenses,Credit Card Fees,215000,215000,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Direct Expenses,Repairs-Bldg/Structure,215000,215000,FALSE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Employee Benefits,Social Security,213953,213953,FALSE,0
Community Development Block Gra,Community Development,Miscellaneous,Relocation,238734,213234,FALSE,0
General Fund,Housing & Neighborhoods Dept,Salaries and Wages,Salaries-Ft,396479,213069,FALSE,0
Public Transit Fund-Operatingin,Accessible Rail Tran-Tran Svcs,Direct Expenses,Professional Svcs-Other,212976,212976,FALSE,0
General Fund,Police Administrative Services,Other Expense,Grant Match City Share,211124,211124,FALSE,0
Public Utilities Fund,Public Utilities Customer Care ,Employee Benefits,Retirement,210011,210011,FALSE,0
General Fund,Transportation Services,Interfund Transfers In/Out,To 810 Grants-Fta Planning,209721,209721,FALSE,0
Transit CAMPO Fund,CAMPO-Trans Svcs,Direct Expenses,Rental-Real Property,205000,205000,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Rental-Real Property,201235,201235,FALSE,0
General Fund,Information Technology Admin,Salaries and Wages,Salary Reserve,200000,200000,FALSE,0
General Fund,IT Application Support,Direct Expenses,Contractual Svcs-Other,200000,200000,FALSE,0
General Fund,Special Appropriations,Direct Expenses,Bill Assistance Program,200000,200000,FALSE,0
General Fund,Transportation Services,Direct Expenses,Traffic Signal Cost,200000,200000,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Miscellaneous,"Govt Taxes, Fees & Fines",200000,200000,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Residential Collec,Direct Expenses,Vehicle Maint & Operatingion,1720000,200000,FALSE,0
General Fund,Police Administrative Services,Salaries and Wages,Salaries-Ft,3985101,199830,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Equipment Usage Charge,199317,199317,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Miscellaneous,Landfill Charges,194306,194306,FALSE,0
General Fund,Engineering Services,Employee Benefits,Retirement,192892,192892,FALSE,0
General Fund,Land Development Services,Employee Benefits,Retirement,189389,189389,FALSE,0
Public Transit Fund-Operatingin,Transit Operatingions -Trans Sv,Salaries and Wages,Salaries-Ft,188396,188396,FALSE,0
General Fund,IT Enterprise Infrastructure M,Direct Expenses,Wan Data Line,394611,188000,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Direct Expenses,Service Contracts-Other,186600,186600,FALSE,0
General Fund,Police Special Operatingions,Capital Equipment,Capital Equipment-Other,198000,186000,FALSE,0
Housing Development-Operatingin,Community Development,Interfund Transfers In/Out,To 100 Ind Cost,185850,185850,FALSE,0
General Fund,Land Development Services,Direct Expenses,Credit Card Fees,184000,184000,FALSE,0
Utility Debt Service Fund,Treasury Office,Direct Expenses,Bond Sale Services,280000,180000,FALSE,0
Public Utilities Fund,Public Utilities Customer Care ,Employee Benefits,Social Security,179783,179783,FALSE,0
General Fund,IT Application Support,Salaries and Wages,Salaries-Ft,2365434,178643,FALSE,0
Public Utilities Fund,Public Utilities Customer Care ,Direct Expenses,Computer Operatingions & Access,176577,176577,FALSE,0
Revolving Fund,Planning,Capital Project Expense,Loans,200000,176390,FALSE,0
General Fund,Transportation Services,Employee Benefits,Supplemental Retirement,176188,176188,FALSE,0
General Fund,PRCR - Parks - Urban Trees,Salaries and Wages,Salaries-Ft,835707,176113,FALSE,0
General Fund,PRCR - Recreation,Interfund Transfers In/Out,To 310 W/S Reimb,176039,176039,FALSE,0
Economic Development Fund,Office of Economic Development,Direct Expenses,Entrepreneurship Prog Exp,270000,170000,FALSE,0
General Fund,Facilities Maint-Eng Svcs,Employee Benefits,Retirement,168717,168717,FALSE,0
General Fund,Engineering Services,Employee Benefits,Social Security,165032,165032,FALSE,0
General Fund,Land Development Services,Employee Benefits,Social Security,162155,162155,FALSE,0
Public Utilities Fund,Public Utilities-Spec Appropri,Interfund Transfers In/Out,To 501 Technology Cap Proj,311438,159295,FALSE,0
General Fund,Emergency Communications,Direct Expenses,Computer Operatingions & Access,262453,156398,FALSE,0
General Fund,Police Field Operatingions,Direct Expenses,Equipment Usage Charge,1490820,153780,FALSE,0
General Fund,Park Facility Maintenance,Employee Benefits,Health Insurance,153063,153063,FALSE,0
General Fund,Human Resources,Direct Expenses,Contractual Svcs-Other,378250,150500,FALSE,0
General Debt Service Fund,Treasury Office,Direct Expenses,Bond Sale Services,400000,150000,FALSE,0
Public Utilities Fund,Public Utilities Water Plant,Other Expense,Corps Falls Project,950000,150000,FALSE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Direct Expenses,Rsv-Other,150000,150000,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintena,Direct Expenses,Motor Fuels & Lubricants,597273,149376,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Direct Expenses,Operatingional & Maint Supplies,148200,148200,FALSE,0
General Fund,Facilities Maint-Eng Svcs,Employee Benefits,Social Security,144355,144355,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Repairs-Bldg/Structure,144000,144000,FALSE,0
General Fund,Development Engineering Servic,Employee Benefits,Health Insurance,142416,142416,FALSE,0
General Fund,Stormwater St Maint-Tran Svcs,Direct Expenses,Motor Fuels & Lubricants,141903,141903,FALSE,0
General Fund,PRCR - Recreation-School Based,Salaries and Wages,Salaries-Pt Temp/Seasonal,814712,141257,FALSE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Interfund Transfers In/Out,To 501 ERP Debt Service,140789,140789,FALSE,0
General Fund,Transportation Services,Direct Expenses,Radio Signal Supplies,140000,140000,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Employee Benefits,Supplemental Retirement,136804,136804,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Motor Fuels & Lubricants,136355,136355,FALSE,0
General Fund,Stormwater St Maint-Tran Svcs,Employee Benefits,Retirement,136323,136323,FALSE,0
General Fund,Transportation Services,Direct Expenses,Sign Materials,135000,135000,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintena,Employee Benefits,Health Insurance Increment,67994,133795,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Rental-Real Property,130640,130640,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Admin,Salaries and Wages,Salaries-Ft,1542564,129984,FALSE,0
Revolving Fund,PRCR - Recreation,Direct Expenses,Contractual Svcs-Other,728710,129180,FALSE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Direct Expenses,Rental-Real Property,129073,129073,FALSE,0
General Fund,Police Field Operatingions,Employee Benefits,Retirement,2205923,128756,FALSE,0
Revolving Fund,PRCR - Recreation,Direct Expenses,Rsv For Shared P&R Costs,1164905,126215,FALSE,0
General Fund,PRCR - Parks -Park Maintenance,Employee Benefits,Health Insurance Increment,65145,125338,FALSE,0
General Fund,Police Administrative Services,Miscellaneous,Organization Dev & Training,175000,125000,FALSE,0
General Fund,Special Appropriations,Interfund Transfers In/Out,To 625 Park Impv,3800000,125000,FALSE,0
Public Transit Fund-Operatingin,Transit Operatingions -Trans Sv,Miscellaneous,Marketing,125000,125000,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Residential Collec,Employee Benefits,Health Insurance Increment,61907,124589,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Small Equipment,124000,124000,FALSE,0
General Fund,PRCR - Recreation,Employee Benefits,Health Insurance Increment,64509,123500,FALSE,0
General Fund,IT Enterprise Infrastructure M,Direct Expenses,Rsv-Wide Area Network,1139418,123400,FALSE,0
General Fund,PRCR - Parks -Park Maintenance,Direct Expenses,Equipment Usage Charge,516613,123023,FALSE,0
General Fund,Transportation Services,Capital Equipment,"""""""Furniture, Fixtures & Equip",120000,120000,FALSE,0
General Fund,Transportation Services,Employee Benefits,Medicare,118681,118681,FALSE,0
General Fund,Emergency Communications,Employee Benefits,Health Insurance Increment,58145,118227,FALSE,0
General Fund,Police Detective Division,Direct Expenses,Equipment Usage Charge,480600,117590,FALSE,0
General Fund,Stormwater St Maint-Tran Svcs,Employee Benefits,Social Security,117115,117115,FALSE,0
General Fund,Finance Administration,Salaries and Wages,Salaries-Ft,447638,113920,FALSE,0
General Fund,Transportation Services,Employee Benefits,Dental Insurance,113475,113475,FALSE,0
General Fund,Fire Adm,Direct Expenses,Cellular/Wireless Voice Lines,115917,112167,FALSE,0
General Fund,Planning,Direct Expenses,Professional Svcs-Other,246000,112000,FALSE,0
Public Utilities Fund,Public Utilities Admin,Salaries and Wages,Salaries-Ft,2820335,111597,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Employee Benefits,Retirement,111052,111052,FALSE,0
General Fund,PRCR - Recreation,Salaries and Wages,Salaries-Pt Temp/Seasonal,3831291,109156,FALSE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Direct Expenses,Contractual Svcs-Other,108000,108000,FALSE,0
Public Utilities Fund,Public Utilities Water Distribu,Employee Benefits,Health Insurance Increment,52222,107932,FALSE,0
General Fund,Land Development Services,Direct Expenses,Computer Operatingions & Access,106790,106790,FALSE,0
General Fund,IT Strategy & Planning,Direct Expenses,Computer Lease,1164854,106450,FALSE,0
Public Utilities Fund,Public Utilities Water Plant,Employee Benefits,Health Insurance Increment,50558,104297,FALSE,0
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Natural Gas Svc,103982,103982,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Salaries and Wages,Longevity,103723,103723,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Residential Collec,Salaries and Wages,Salaries-Ft,4682061,102795,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Employee Benefits,Health Insurance,101700,101700,FALSE,0
General Fund,Police Special Operatingions,Employee Benefits,Health Insurance Increment,49700,101012,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Direct Expenses,POA Dues,100960,100960,FALSE,0
General Fund,Special Appropriations,Direct Expenses,Event Sponsorships,100000,100000,FALSE,0
Transit CAMPO Fund,CAMPO-Trans Svcs,Interfund Transfers In/Out,To 100 Ind Cost,100000,100000,FALSE,0
Transit CAMPO Fund,CAMPO-Trans Svcs,Employee Benefits,Health Insurance,99490,99490,FALSE,0
General Fund,Budget & Management Services,Salaries and Wages,Salaries-Ft,1005060,99466,FALSE,0
General Fund,Police Detective Division,Employee Benefits,Retirement,1025559,99203,FALSE,0
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Equipment Usage Charge,98871,98871,FALSE,0
General Fund,Building & Safety Services,Employee Benefits,Supplemental Retirement,98842,98842,FALSE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Employee Benefits,Opeb- Post Employment Benefits,97328,97328,FALSE,0
General Fund,PRCR - Parks -Park Maintenance,Direct Expenses,Repairs-Bldg/Structure,98107,96107,FALSE,0
General Fund,PRCR - Recreation,Interfund Transfers In/Out,To 460 Reimb Engineering Stm W,95971,95971,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Employee Benefits,Social Security,95018,95018,FALSE,0
General Fund,Purchasing,Salaries and Wages,Salary Reserve,94783,94783,FALSE,0
Parking Debt Service Fund,Treasury Office,Capital Project Expense,Biannual Budget Reserve,99028,94699,FALSE,0
General Fund,Transportation Services,Employee Benefits,Health Insurance Increment,93111,93111,FALSE,0
Public Utilities Fund,Public Utilities Meters,Employee Benefits,Health Insurance Increment,44236,92060,FALSE,0
General Fund,Police Field Operatingions,Salaries and Wages,Holiday Pay,912000,92000,FALSE,0
General Fund,City Attorney,Salaries and Wages,Salaries-Ft,2211746,91877,FALSE,0
General Fund,Transportation Services,Direct Expenses,Rental-Equipment,90000,90000,FALSE,0
Community Development Block Gra,Community Development,Employee Benefits,Health Insurance,89113,89113,FALSE,0
