LEVEL1,LEVEL2,LEVEL3,LEVEL4,TOOLTIP,SOURCE,SOURCE URL,2012,2013,2014,2015,2016,2017,LEVEL
Community Development Block Grant Total,,,,,,,2782326.00,3188848.00,3371060.00,3653829.00,3965369.00,4318661.00,1
Convention Center Financing Fund-Special Revenue,Non-Departmental,Non-Program Revenues,Approp From Prior Year,,,,,,,8271000.00,,,4
Convention Center Financing Fund-Special Revenue,Non-Departmental,Non-Program Revenues,Interest On Investments,,,,,986773.00,1026855.00,1081000.00,1054934.00,1189301.00,4
Convention Center Financing Fund-Special Revenue,Non-Departmental,Non-Program Revenues,Occupancy/Food Tax,,,,14301000.00,16176427.00,17820875.00,19966000.00,23887002.00,28213771.00,4
Convention Center Financing Fund-Special Revenue,Non-Departmental,Non-Program Revenues Total,,,,,14301000.00,17163200.00,18847730.00,29318000.00,24941936.00,29403072.00,3
Convention Center Financing Fund-Special Revenue,Non-Departmental Total,,,,,,14301000.00,17163200.00,18847730.00,29318000.00,24941936.00,29403072.00,2
Convention Center Financing Fund-Special Revenue Total,,,,,,,14301000.00,17163200.00,18847730.00,29318000.00,24941936.00,29403072.00,1
E 911 State Tax Fund-Operatinging,Emergency Communications,Non-Program Revenues,Approp From Prior Year,,,,,328921.00,519950.73,473659.01,400000.00,987818.39,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Non-Program Revenues,Interest On Investments,,,,,,,,5110.00,5110.00,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Non-Program Revenues,State E911 Tax Revenue,,,,2398232.39,2160268.00,2161215.00,2161215.00,2875526.34,2026804.00,4
E 911 State Tax Fund-Operatinging,Emergency Communications,Non-Program Revenues Total,,,,,2398232.39,2489189.00,2681165.73,2634874.01,3280636.34,3019732.39,3
E 911 State Tax Fund-Operatinging,Emergency Communications Total,,,,,,2398232.39,2489189.00,2681165.73,2634874.01,3280636.34,3019732.39,2
E 911 State Tax Fund-Operatinging Total,,,,,,,2398232.39,2489189.00,2681165.73,2634874.01,3280636.34,3019732.39,1
Economic Development Fund,Non-Departmental,Blank Program Code,Fr 100 General Fd,,,,1048129.00,,,,,,4
Economic Development Fund,Non-Departmental,Blank Program Code,Fr 310 Public Utilities,,,,75000.00,,,,,,4
Economic Development Fund,Non-Departmental,Blank Program Code,Interest On Investments,,,,8340.00,,,,,,4
Economic Development Fund,Non-Departmental,Blank Program Code,Interlocal Agreement-Green Squ,,,,900000.00,,,,,,4
Economic Development Fund,Non-Departmental,Blank Program Code,Interlocal Agreement-St. Aug S,,,,100000.00,,,,,,4
Economic Development Fund,Non-Departmental,Blank Program Code Total,,,,,2131469.00,,,,,,3
Economic Development Fund,Non-Departmental,Non-Program Revenues,Approp From Prior Year,,,,,,,399500.00,,270000.00,4
Economic Development Fund,Non-Departmental,Non-Program Revenues,Fr 100 General Fd,,,,,1223102.00,1316008.00,1030696.00,1281190.00,1271038.00,4
Economic Development Fund,Non-Departmental,Non-Program Revenues,Interest On Investments,,,,,7200.00,5754.00,5754.00,5754.00,5754.00,4
Economic Development Fund,Non-Departmental,Non-Program Revenues,Interlocal Agreement-Green Squ,,,,,800000.00,200000.00,400000.00,400000.00,,4
Economic Development Fund,Non-Departmental,Non-Program Revenues,Interlocal Agreement-St. Aug S,,,,,100000.00,100000.00,100000.00,100000.00,,4
Economic Development Fund,Non-Departmental,Non-Program Revenues Total,,,,,,2130302.00,1621762.00,1935950.00,1786944.00,1546792.00,3
Economic Development Fund,Non-Departmental Total,,,,,,2131469.00,2130302.00,1621762.00,1935950.00,1786944.00,1546792.00,2
Economic Development Fund Total,,,,,,,2131469.00,2130302.00,1621762.00,1935950.00,1786944.00,1546792.00,1
Emergency Shelter Grant,Community Development,Grant Year 11/12,Federal Grants,,,,108680.00,,,,,,4
Emergency Shelter Grant,Community Development,Grant Year 11/12 Total,,,,,108680.00,,,,,,3
Emergency Shelter Grant,Community Development,Grant Year 2012/2013,Federal Grants,,,,,195403.00,,,,,4
Emergency Shelter Grant,Community Development,Grant Year 2012/2013 Total,,,,,,195403.00,,,,,3
Emergency Shelter Grant,Community Development,Grant Year 2013/2014,Federal Grants,,,,,,178932.00,,,,4
Emergency Shelter Grant,Community Development,Grant Year 2013/2014 Total,,,,,,,178932.00,,,,3
Emergency Shelter Grant,Community Development,Non-Program Revenues,Federal Grants,,,,,,,217085.00,,,4
Emergency Shelter Grant,Community Development,Non-Program Revenues Total,,,,,,,,217085.00,,,3
Emergency Shelter Grant,Community Development Total,,,,,,108680.00,195403.00,178932.00,217085.00,,,2
Emergency Shelter Grant Total,,,,,,,108680.00,195403.00,178932.00,217085.00,,,1
Emergency Solution Grant,Community Development,Non-Program Revenues,Federal Grants,,,,,,,,239845.00,239845.00,4
Emergency Solution Grant,Community Development,Non-Program Revenues Total,,,,,,,,,239845.00,239845.00,3
Emergency Solution Grant,Community Development Total,,,,,,,,,,239845.00,239845.00,2
Emergency Solution Grant Total,,,,,,,,,,,239845.00,239845.00,1
General Debt Service Fund,Non-Departmental,Blank Program Code,Amphitheater Rent,,,,1000000.00,,,,,,4
General Debt Service Fund,Non-Departmental,Blank Program Code,Fr 100 For Debt Svc,,,,37254355.00,,,,,,4
General Debt Service Fund,Non-Departmental,Blank Program Code,Fr 545 St Facilities,,,,3100000.00,,,,,,4
General Debt Service Fund,Non-Departmental,Blank Program Code,Fr 610 Park Acq-Fac Fees,,,,900000.00,,,,,,4
General Debt Service Fund,Non-Departmental,Blank Program Code,Fr 720 Hsing Bond 90,,,,400000.00,,,,,,4
General Debt Service Fund,Non-Departmental,Blank Program Code,Fr 736 Trans Hsing,,,,62717.00,,,,,,4
General Debt Service Fund,Non-Departmental,Blank Program Code,Interest On Investments,,,,182520.00,,,,,,4
General Debt Service Fund,Non-Departmental,Blank Program Code Total,,,,,42899592.00,,,,,,3
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Amphitheater Rent,,,,,1000000.00,,,,,4
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Fr 100 For Debt Svc,,,,,41935177.00,40757568.00,46562000.00,56149950.00,62570595.00,4
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Fr 501-Tech Cap Proj,,,,,3576830.00,3239787.00,3187000.00,3134187.00,3081387.00,4
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Fr 545 St Facilities,,,,,2700000.00,2781000.00,2865000.00,2951100.00,3039796.00,4
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Fr 610 Park Acq-Fac Fees,,,,,1420000.00,1462600.00,1506000.00,1551000.00,1597300.00,4
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Fr 652 Walnut Crk Amph,,,,,,1000000.00,1000000.00,1000000.00,1000000.00,4
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Fr 720 Hsing Bond 90,,,,,400000.00,400000.00,400000.00,400000.00,400000.00,4
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Fr 735 Housing Oper,,,,,,,,,28684.00,4
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Fr 736 Trans Hsing,,,,,62717.00,62717.00,28684.00,28684.00,,4
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Interest On Investments,,,,,142458.00,123500.00,193700.00,280600.00,1105616.00,4
General Debt Service Fund,Non-Departmental,Non-Program Revenues Total,,,,,,51237182.00,49827172.00,55742384.00,65495521.00,72823378.00,3
General Debt Service Fund,Non-Departmental Total,,,,,,42899592.00,51237182.00,49827172.00,55742384.00,65495521.00,72823378.00,2
General Debt Service Fund,Treasury Office,Non-Program Revenues,Approp From Prior Year,,,,968608.00,1291418.00,2708286.00,2924970.00,10826255.00,,4
General Debt Service Fund,Treasury Office,Non-Program Revenues,Fr 502 Enterprise Res Planning,,,,3680988.00,,,,,,4
General Debt Service Fund,Treasury Office,Non-Program Revenues,Fr 642 RCC/PAC Operatingions Fd,,,,164946.00,164946.00,164946.00,164946.00,164946.00,164946.00,4
General Debt Service Fund,Treasury Office,Non-Program Revenues Total,,,,,4814542.00,1456364.00,2873232.00,3089916.00,10991201.00,164946.00,3
General Debt Service Fund,Treasury Office Total,,,,,,4814542.00,1456364.00,2873232.00,3089916.00,10991201.00,164946.00,2
General Debt Service Fund Total,,,,,,,47714134.00,52693546.00,52700404.00,58832300.00,76486722.00,72988324.00,1
General Fund,Building & Safety Services,Non-Program Revenues,After Hours Express Review Fee,,,,,,,,,25000.00,4
General Fund,Building & Safety Services,Non-Program Revenues,Commerical Review Fee,,,,,,,,,30000.00,4
General Fund,Building & Safety Services,Non-Program Revenues,Conditional Svc Fee,,,,,,,,,350000.00,4
General Fund,Building & Safety Services,Non-Program Revenues,Inspection Fees - After Hours,,,,,,,,,150000.00,4
General Fund,Building & Safety Services,Non-Program Revenues,Inspection Fees-Bldg,,,,,,,,,2000000.00,4
General Fund,Building & Safety Services,Non-Program Revenues,Inspection Fees-Electrical,,,,,,,,,1900000.00,4
General Fund,Building & Safety Services,Non-Program Revenues,Inspection Fees-Hv Ac,,,,,,,,,1325000.00,4
General Fund,Building & Safety Services,Non-Program Revenues,Inspection Fees-Plumbing,,,,,,,,,1100000.00,4
General Fund,Building & Safety Services,Non-Program Revenues,Journeyman Exam Fees,,,,,,,,,500.00,4
General Fund,Building & Safety Services,Non-Program Revenues,Pony Express Plan Review,,,,,,,,,40000.00,4
General Fund,Building & Safety Services,Non-Program Revenues,Reinspection Fees-Bldg,,,,,,,,,130000.00,4
General Fund,Building & Safety Services,Non-Program Revenues,Reinspection Fees-Electrical,,,,,,,,,250000.00,4
General Fund,Building & Safety Services,Non-Program Revenues,Reinspection Fees-Hv Ac,,,,,,,,,250000.00,4
General Fund,Building & Safety Services,Non-Program Revenues,Reinspection Fees-Other,,,,,,,,,25000.00,4
General Fund,Building & Safety Services,Non-Program Revenues,Reinspection Fees-Plumbing,,,,,,,,,175000.00,4
General Fund,Building & Safety Services,Non-Program Revenues,Second Review Fee,,,,,,,,,25000.00,4
General Fund,Building & Safety Services,Non-Program Revenues,Temporary Co Fee,,,,,,,,,35000.00,4
General Fund,Building & Safety Services,Non-Program Revenues,Violations-Streets (Wcpss 90%),,,,,,,,,1400.00,4
General Fund,Building & Safety Services,Non-Program Revenues Total,,,,,,,,,,7811900.00,3
General Fund,Building & Safety Services Total,,,,,,,,,,,7811900.00,2
General Fund,Development Engineering Servic,Non-Program Revenues,Const Plan Review Fee,,,,,,,,,55000.00,4
General Fund,Development Engineering Servic,Non-Program Revenues,Inspection Fees-Engineer,,,,,,,,,125000.00,4
General Fund,Development Engineering Servic,Non-Program Revenues,Pavement Cut Permit Fees,,,,,,,,,150000.00,4
General Fund,Development Engineering Servic,Non-Program Revenues,Right Of Way Fee,,,,,,,,,220000.00,4
General Fund,Development Engineering Servic,Non-Program Revenues Total,,,,,,,,,,550000.00,3
General Fund,Development Engineering Servic Total,,,,,,,,,,,550000.00,2
General Fund,Development Services,Non-Program Revenues,Express Svc Surcharge,,,,,,550000.00,700000.00,964000.00,,4
General Fund,Development Services,Non-Program Revenues,Insp-Cert Of Eligibility,,,,,,2500.00,2500.00,3000.00,,4
General Fund,Development Services,Non-Program Revenues,Permit Fees-Other,,,,,,6875.00,6200.00,7200.00,,4
General Fund,Development Services,Non-Program Revenues,Sign Permit Fee,,,,,,,,120000.00,,4
General Fund,Development Services,Non-Program Revenues,Zoning & Subdivision Fees,,,,,,,,431000.00,,4
General Fund,Development Services,Non-Program Revenues Total,,,,,,,559375.00,708700.00,1525200.00,,3
General Fund,Development Services Total,,,,,,,,559375.00,708700.00,1525200.00,,2
General Fund,Emergency Communications,Blank Program Code,County Emd Support,,,,185763.00,,,,,,4
General Fund,Emergency Communications,Blank Program Code,Ecc - Municipal Shares,,,,2053097.00,,,,,,4
General Fund,Emergency Communications,Blank Program Code Total,,,,,2238860.00,,,,,,3
General Fund,Emergency Communications,Non-Program Revenues,County Emd Support,,,,,170820.00,184693.00,184735.00,195140.00,196145.00,4
General Fund,Emergency Communications,Non-Program Revenues,Ecc - Municipal Shares,,,,,1880787.00,2172266.00,2286937.00,2356400.00,2175712.00,4
General Fund,Emergency Communications,Non-Program Revenues Total,,,,,,2051607.00,2356959.00,2471672.00,2551540.00,2371857.00,3
General Fund,Emergency Communications,Shared Cost-Ecc,Ecc - Municipal Shares,,,,,,,,,210858.00,4
General Fund,Emergency Communications,Shared Cost-Ecc Total,,,,,,,,,,210858.00,3
General Fund,Emergency Communications Total,,,,,,2238860.00,2051607.00,2356959.00,2471672.00,2551540.00,2582715.00,2
General Fund,Facilities Maint-Eng Svcs,Non-Program Revenues,Fees/Sales,,,,,,,,,35000.00,4
General Fund,Facilities Maint-Eng Svcs,Non-Program Revenues,Rental Fee-900 S Wilmington St,,,,,,,,,26569.96,4
General Fund,Facilities Maint-Eng Svcs,Non-Program Revenues,Rent-One Exchange Plaza,,,,,,,,,384042.00,4
General Fund,Facilities Maint-Eng Svcs,Non-Program Revenues Total,,,,,,,,,,445611.96,3
General Fund,Facilities Maint-Eng Svcs Total,,,,,,,,,,,445611.96,2
General Fund,Fire Administration,Blank Program Code,County Hazmat Support,,,,200000.00,,,,,,4
General Fund,Fire Administration,Blank Program Code,Fire Alarm Permit Fee,,,,131250.00,,,,,,4
General Fund,Fire Administration,Blank Program Code,Fire False Alarm Fee,,,,30000.00,,,,,,4
General Fund,Fire Administration,Blank Program Code,Fire Inspct Penalty (Wcpss 90%,,,,1000.00,,,,,,4
General Fund,Fire Administration,Blank Program Code,Fire Protection Reimb,,,,1146382.00,,,,,,4
General Fund,Fire Administration,Blank Program Code,Inspection Fees-Fire Dept,,,,733450.00,,,,,,4
General Fund,Fire Administration,Blank Program Code,Inspection Fees-Sprinkler,,,,105000.00,,,,,,4
General Fund,Fire Administration,Blank Program Code,Reinspection Fees-Sprinkler,,,,21000.00,,,,,,4
General Fund,Fire Administration,Blank Program Code Total,,,,,2368082.00,,,,,,3
General Fund,Fire Administration,Non-Program Revenues,County Hazmat Support,,,,,200000.00,200000.00,233649.00,233649.00,223433.79,4
General Fund,Fire Administration,Non-Program Revenues,Fire Alarm Permit Fee,,,,,136250.00,161000.00,175000.00,250000.00,287500.00,4
General Fund,Fire Administration,Non-Program Revenues,Fire False Alarm Fee,,,,,30000.00,30000.00,35000.00,30000.00,34500.00,4
General Fund,Fire Administration,Non-Program Revenues,Fire Inspct Penalty (Wcpss 90%,,,,,1000.00,1000.00,1000.00,1000.00,1000.00,4
General Fund,Fire Administration,Non-Program Revenues,Fire Permits-Miscellaneous,,,,,,,,15000.00,17250.00,4
General Fund,Fire Administration,Non-Program Revenues,Fire Protection Reimb,,,,,988000.00,988000.00,988000.00,1009688.00,1010081.00,4
General Fund,Fire Administration,Non-Program Revenues,Inspection Fees-Fire Dept,,,,,733450.00,1099650.00,1010000.00,1120000.00,1364000.00,4
General Fund,Fire Administration,Non-Program Revenues,Inspection Fees-Sprinkler,,,,,125000.00,230000.00,300000.00,350000.00,402500.00,4
General Fund,Fire Administration,Non-Program Revenues,Reinspection Fees-Sprinkler,,,,,15000.00,10000.00,11000.00,15000.00,17250.00,4
General Fund,Fire Administration,Non-Program Revenues Total,,,,,,2228700.00,2719650.00,2753649.00,3024337.00,3357514.79,3
General Fund,Fire Administration Total,,,,,,2368082.00,2228700.00,2719650.00,2753649.00,3024337.00,3357514.79,2
General Fund,Information Technology Admin,Community Tech Outreach-IT,Donations/Contributions,,,,,,,,20000.00,20000.00,4
General Fund,Information Technology Admin,Community Tech Outreach-IT Total,,,,,,,,,20000.00,20000.00,3
General Fund,Information Technology Admin Total,,,,,,,,,,20000.00,20000.00,2
General Fund,Inspections,Blank Program Code,Commerical Review Fee,,,,16038.00,,,,,,4
General Fund,Inspections,Blank Program Code,Conditional Svc Fee,,,,77603.00,,,,,,4
General Fund,Inspections,Blank Program Code,Encroachment,,,,40000.00,,,,,,4
General Fund,Inspections,Blank Program Code,Express Svc Surcharge,,,,700000.00,,,,,,4
General Fund,Inspections,Blank Program Code,H/E-Minimum Housing,,,,5500.00,,,,,,4
General Fund,Inspections,Blank Program Code,H/E-P/N Vehicle,,,,500.00,,,,,,4
General Fund,Inspections,Blank Program Code,H/E-P/N Violations,,,,15000.00,,,,,,4
General Fund,Inspections,Blank Program Code,H/E-Rental Registration Progra,,,,925000.00,,,,,,4
General Fund,Inspections,Blank Program Code,H/E-Unsafe,,,,600.00,,,,,,4
General Fund,Inspections,Blank Program Code,Insp Private Use-Minor Encroac,,,,2000.00,,,,,,4
General Fund,Inspections,Blank Program Code,Insp Private Use-News Rack,,,,2500.00,,,,,,4
General Fund,Inspections,Blank Program Code,Insp Private Use-Outdoor Dinin,,,,5000.00,,,,,,4
General Fund,Inspections,Blank Program Code,Insp Private Use-Street Vendor,,,,3500.00,,,,,,4
General Fund,Inspections,Blank Program Code,Insp-Cert Of Eligibility,,,,2500.00,,,,,,4
General Fund,Inspections,Blank Program Code,Inspect-Homeowner Recover Fee-,,,,4000.00,,,,,,4
General Fund,Inspections,Blank Program Code,Inspection Fees - After Hours,,,,38000.00,,,,,,4
General Fund,Inspections,Blank Program Code,Inspection Fees-Bldg,,,,1038170.00,,,,,,4
General Fund,Inspections,Blank Program Code,Inspection Fees-Electrical,,,,1241640.00,,,,,,4
General Fund,Inspections,Blank Program Code,Inspection Fees-Hv Ac,,,,931230.00,,,,,,4
General Fund,Inspections,Blank Program Code,Inspection Fees-Plumbing,,,,633596.00,,,,,,4
General Fund,Inspections,Blank Program Code,Inspect-Prop Admin Fees,,,,1200.00,,,,,,4
General Fund,Inspections,Blank Program Code,Inspect-Prop Civil Citations,,,,24000.00,,,,,,4
General Fund,Inspections,Blank Program Code,Inspect-Prop Permit Fees,,,,5000.00,,,,,,4
General Fund,Inspections,Blank Program Code,Insp-Encroachment Agreement,,,,1000.00,,,,,,4
General Fund,Inspections,Blank Program Code,Journeyman Exam Fees,,,,3500.00,,,,,,4
General Fund,Inspections,Blank Program Code,Landlord Training Class Fees,,,,2500.00,,,,,,4
General Fund,Inspections,Blank Program Code,Nuisance Abatements,,,,100000.00,,,,,,4
General Fund,Inspections,Blank Program Code,Permit Fees-Other,,,,10347.00,,,,,,4
General Fund,Inspections,Blank Program Code,Pony Express Plan Review,,,,42500.00,,,,,,4
General Fund,Inspections,Blank Program Code,Reinspection Fees-Bldg,,,,72946.00,,,,,,4
General Fund,Inspections,Blank Program Code,Reinspection Fees-Electrical,,,,117956.00,,,,,,4
General Fund,Inspections,Blank Program Code,Reinspection Fees-Hv Ac,,,,87950.00,,,,,,4
General Fund,Inspections,Blank Program Code,Reinspection Fees-Other,,,,6726.00,,,,,,4
General Fund,Inspections,Blank Program Code,Reinspection Fees-Plumbing,,,,144858.00,,,,,,4
General Fund,Inspections,Blank Program Code,Second Review Fee,,,,26902.00,,,,,,4
General Fund,Inspections,Blank Program Code,Sign Permit Fee,,,,103470.00,,,,,,4
General Fund,Inspections,Blank Program Code,Temporary Co Fee,,,,8278.00,,,,,,4
General Fund,Inspections,Blank Program Code,Violations-Housing (Wcpss 90%),,,,26000.00,,,,,,4
General Fund,Inspections,Blank Program Code,Violations-Streets (Wcpss 90%),,,,1400.00,,,,,,4
General Fund,Inspections,Blank Program Code,Violations-Zoning (Wcpss 90%),,,,5000.00,,,,,,4
General Fund,Inspections,Blank Program Code,Zoning & Subdivision Fees,,,,125000.00,,,,,,4
General Fund,Inspections,Blank Program Code,Zoning Permit Fee,,,,199697.00,,,,,,4
General Fund,Inspections,Blank Program Code,Zoning-Code Violations,,,,3500.00,,,,,,4
General Fund,Inspections,Blank Program Code,Zoning-P/N Vehicle,,,,2000.00,,,,,,4
General Fund,Inspections,Blank Program Code Total,,,,,6804107.00,,,,,,3
General Fund,Inspections,Non-Program Revenues,Commerical Review Fee,,,,,20000.00,29000.00,24921.00,30000.00,,4
General Fund,Inspections,Non-Program Revenues,Conditional Svc Fee,,,,,90000.00,129000.00,250000.00,650000.00,,4
General Fund,Inspections,Non-Program Revenues,Encroachment,,,,,40000.00,20000.00,,,,4
General Fund,Inspections,Non-Program Revenues,Express Svc Surcharge,,,,,750000.00,,,,,4
General Fund,Inspections,Non-Program Revenues,H/E-Minimum Housing,,,,,6000.00,4200.00,,,,4
General Fund,Inspections,Non-Program Revenues,H/E-P/N Vehicle,,,,,500.00,200.00,,,,4
General Fund,Inspections,Non-Program Revenues,H/E-P/N Violations,,,,,15000.00,17000.00,,,,4
General Fund,Inspections,Non-Program Revenues,H/E-Rental Registration Progra,,,,,250000.00,250000.00,,,,4
General Fund,Inspections,Non-Program Revenues,H/E-Unsafe,,,,,500.00,500.00,,,,4
General Fund,Inspections,Non-Program Revenues,Insp Private Use-Minor Encroac,,,,,2000.00,,,,,4
General Fund,Inspections,Non-Program Revenues,Insp Private Use-News Rack,,,,,2500.00,,,,,4
General Fund,Inspections,Non-Program Revenues,Insp Private Use-Outdoor Dinin,,,,,5000.00,,,,,4
General Fund,Inspections,Non-Program Revenues,Insp Private Use-Street Vendor,,,,,3500.00,,,,,4
General Fund,Inspections,Non-Program Revenues,Insp-Cert Of Eligibility,,,,,2500.00,,,,,4
General Fund,Inspections,Non-Program Revenues,Inspect-Homeowner Recover Fee-,,,,,4000.00,,,,,4
General Fund,Inspections,Non-Program Revenues,Inspection Fees - After Hours,,,,,75000.00,150000.00,130000.00,160000.00,,4
General Fund,Inspections,Non-Program Revenues,Inspection Fees-Bldg,,,,,1400000.00,2300000.00,1858500.00,2250000.00,,4
General Fund,Inspections,Non-Program Revenues,Inspection Fees-Electrical,,,,,1500000.00,2000000.00,1610700.00,1800000.00,,4
General Fund,Inspections,Non-Program Revenues,Inspection Fees-Hv Ac,,,,,1000000.00,1500000.00,1424850.00,1550000.00,,4
General Fund,Inspections,Non-Program Revenues,Inspection Fees-Plumbing,,,,,850000.00,1350000.00,1300950.00,1300000.00,,4
General Fund,Inspections,Non-Program Revenues,Inspect-Prop Admin Fees,,,,,1000.00,19000.00,,,,4
General Fund,Inspections,Non-Program Revenues,Inspect-Prop Civil Citations,,,,,10000.00,49000.00,,,,4
General Fund,Inspections,Non-Program Revenues,Inspect-Prop Permit Fees,,,,,10000.00,3500.00,,,,4
General Fund,Inspections,Non-Program Revenues,Insp-Encroachment Agreement,,,,,1000.00,,,,,4
General Fund,Inspections,Non-Program Revenues,Journeyman Exam Fees,,,,,2500.00,4000.00,500.00,500.00,,4
General Fund,Inspections,Non-Program Revenues,Landlord Training Class Fees,,,,,1000.00,2300.00,,,,4
General Fund,Inspections,Non-Program Revenues,Nuisance Abatements,,,,,75000.00,124000.00,,,,4
General Fund,Inspections,Non-Program Revenues,Permit Fees-Other,,,,,5000.00,,,,,4
General Fund,Inspections,Non-Program Revenues,Pony Express Plan Review,,,,,37000.00,30000.00,50000.00,50000.00,,4
General Fund,Inspections,Non-Program Revenues,Reinspection Fees-Bldg,,,,,126000.00,170000.00,148234.00,120000.00,,4
General Fund,Inspections,Non-Program Revenues,Reinspection Fees-Electrical,,,,,175000.00,160000.00,238836.00,200000.00,,4
General Fund,Inspections,Non-Program Revenues,Reinspection Fees-Hv Ac,,,,,140000.00,170000.00,169736.00,200000.00,,4
General Fund,Inspections,Non-Program Revenues,Reinspection Fees-Other,,,,,7000.00,8500.00,7624.00,13600.00,,4
General Fund,Inspections,Non-Program Revenues,Reinspection Fees-Plumbing,,,,,160000.00,137000.00,182332.00,140000.00,,4
General Fund,Inspections,Non-Program Revenues,Second Review Fee,,,,,32000.00,13000.00,40542.00,12700.00,,4
General Fund,Inspections,Non-Program Revenues,Sign Permit Fee,,,,,110000.00,,,,,4
General Fund,Inspections,Non-Program Revenues,Temporary Co Fee,,,,,4000.00,15000.00,5000.00,17000.00,,4
General Fund,Inspections,Non-Program Revenues,Violations-Housing (Wcpss 90%),,,,,80000.00,44000.00,,,,4
General Fund,Inspections,Non-Program Revenues,Violations-Streets (Wcpss 90%),,,,,1400.00,1400.00,1400.00,1400.00,,4
General Fund,Inspections,Non-Program Revenues,Violations-Zoning (Wcpss 90%),,,,,5000.00,,,,,4
General Fund,Inspections,Non-Program Revenues,Zoning & Subdivision Fees,,,,,275000.00,,,,,4
General Fund,Inspections,Non-Program Revenues,Zoning Permit Fee,,,,,200000.00,,,,,4
General Fund,Inspections,Non-Program Revenues,Zoning-Code Violations,,,,,3500.00,,,,,4
General Fund,Inspections,Non-Program Revenues,Zoning-P/N Vehicle,,,,,2000.00,,,,,4
General Fund,Inspections,Non-Program Revenues Total,,,,,,7479900.00,8700600.00,7444125.00,8495200.00,,3
General Fund,Inspections Total,,,,,,6804107.00,7479900.00,8700600.00,7444125.00,8495200.00,,2
General Fund,IT Enterprise Infrastructure M,DR & Inf Perf Mgmt-IT,Misc Revenues,,,,,,,,16728.00,16728.00,4
General Fund,IT Enterprise Infrastructure M,DR & Inf Perf Mgmt-IT Total,,,,,,,,,16728.00,16728.00,3
General Fund,IT Enterprise Infrastructure M Total,,,,,,,,,,16728.00,16728.00,2
