LEVEL1,LEVEL2,LEVEL3,LEVEL4,TOOLTIP,SOURCE,SOURCE URL,2012,2013,2014,2015,2016,2017,LEVEL
Community Dev Block Grant,Community Development,Other Expense,Planning - Gr,,,,120063,,,,,,4
Community Dev Block Grant,Community Development,Other Expense,Rehabilitation Warranty - Gr,,,,30000,30000,20000,,,,4
Community Dev Block Grant,Community Development,Other Expense,Rehabilitation/Rehab Loans - G,,,,209342,161867,76788,141000,,700000,4
Community Dev Block Grant,Community Development,Other Expense,Service Fees - Gr,,,,25000,25000,25000,25000,25000,25000,4
Community Dev Block Grant,Community Development,Other Expense,Site Improvements - Gr,,,,,200000,800000,1148260,1972602,791759.74,4
Community Dev Block Grant,Community Development,Other Expense,Tenant/Homeowner Counseling-Gr,,,,70000,70000,70000,73500,73500,75000,4
Community Dev Block Grant,Community Development,Other Expense Total,,,,,1555005,774667,1280588,1666560,3294467,2004559.74,3
Community Dev Block Grant,Community Development,Salaries and Wages,FT Salary-CDBG Admiin-Gr,,,,,,297583,,,,4
Community Dev Block Grant,Community Development,Salaries and Wages,FT Salary-CDBG Field Ops-Gr,,,,,,315344,,,,4
Community Dev Block Grant,Community Development,Salaries and Wages,Longevity,,,,,11709.19,,,,6258.22,4
Community Dev Block Grant,Community Development,Salaries and Wages,Merit Increase,,,,,21.68,,,,,4
Community Dev Block Grant,Community Development,Salaries and Wages,Range Increase,,,,,21.68,,,,,4
Community Dev Block Grant,Community Development,Salaries and Wages,Salaries-Ft,,,,,662386.26,,,,649701.47,4
Community Dev Block Grant,Community Development,Salaries and Wages,Salaries-Pt Temp/Seasonal,,,,,15000,,,,,4
Community Dev Block Grant,Community Development,Salaries and Wages,Salary Reserve,,,,,,,623469,,,4
Community Dev Block Grant,Community Development,Salaries and Wages Total,,,,,,689138.81,612927,623469,,655959.69,3
Community Dev Block Grant,Community Development Total,,,,,,2782326,3188848.1,3371060,3653829,3965369,4318661,2
Community Dev Block Grant Total,,,,,,,2782326,3188848.1,3371060,3653829,3965369,4318661,1
Convention Center Financing Fund-Special Revenue,Finance Administration,Capital Project Expense,Biannual Budget Reserve,,,,,,,,1432191,4249539,4
Convention Center Financing Fund-Special Revenue,Finance Administration,Capital Project Expense Total,,,,,,,,,1432191,4249539,3
Convention Center Financing Fund-Special Revenue,Finance Administration,Direct Expenses,Special Projects & Programs,,,,,,,4100000,500000,500000,4
Convention Center Financing Fund-Special Revenue,Finance Administration,Direct Expenses Total,,,,,,,,4100000,500000,500000,3
Convention Center Financing Fund-Special Revenue,Finance Administration,Interfund Transfers In/Out,To 642 Civic Ctr Renov,,,,3604000,3681955,3762584,3846000,2930825,3018750,4
Convention Center Financing Fund-Special Revenue,Finance Administration,Interfund Transfers In/Out,To 644 Convention Ctr Debt Svc,,,,10697000,,,,,,4
Convention Center Financing Fund-Special Revenue,Finance Administration,Interfund Transfers In/Out,To 648 New Rcc Complex Fund,,,,,1251500,1980434,2446000,1152000,2709000,4
Convention Center Financing Fund-Special Revenue,Finance Administration,Interfund Transfers In/Out Total,,,,,14301000,4933455,5743018,6292000,4082825,5727750,3
Convention Center Financing Fund-Special Revenue,Finance Administration Total,,,,,,14301000,4933455,5743018,10392000,6015016,10477289,2
Convention Center Financing Fund-Special Revenue,Treasury Office,Capital Project Expense,Biannual Budget Reserve,,,,,626375,1466142,,,,4
Convention Center Financing Fund-Special Revenue,Treasury Office,Capital Project Expense Total,,,,,,626375,1466142,,,,3
Convention Center Financing Fund-Special Revenue,Treasury Office,Direct Expenses,Special Projects & Programs,,,,,450000,450000,450000,450000,450000,4
Convention Center Financing Fund-Special Revenue,Treasury Office,Direct Expenses Total,,,,,,450000,450000,450000,450000,450000,3
Convention Center Financing Fund-Special Revenue,Treasury Office,Interfund Transfers In/Out,To 644 Convention Ctr Debt Svc,,,,,11153370,11188570,18476000,18476920,18475783,4
Convention Center Financing Fund-Special Revenue,Treasury Office,Interfund Transfers In/Out Total,,,,,,11153370,11188570,18476000,18476920,18475783,3
Convention Center Financing Fund-Special Revenue,Treasury Office Total,,,,,,,12229745,13104712,18926000,18926920,18925783,2
Convention Center Financing Fund-Special Revenue Total,,,,,,,14301000,17163200,18847730,29318000,24941936,29403072,1
E 911 State Tax Fund-Operating,Emergency Communications,Capital Equipment,Communications Equip,,,,20000,20000,20000,20000,15000,15000,4
E 911 State Tax Fund-Operating,Emergency Communications,Capital Equipment,Office Furniture & Equip,,,,7000,7000,8400,8400,8400,8400,4
E 911 State Tax Fund-Operating,Emergency Communications,Capital Equipment Total,,,,,27000,27000,28400,28400,23400,23400,3
E 911 State Tax Fund-Operating,Emergency Communications,Direct Expenses,Computer Lease,,,,11192,4406,10000,10000,15000,7857,4
E 911 State Tax Fund-Operating,Emergency Communications,Direct Expenses,Computer Operations & Access,,,,196144,268065,269471,357038,417000,494000,4
E 911 State Tax Fund-Operating,Emergency Communications,Direct Expenses,Operational & Maint Supplies,,,,2000,2000,2000,2000,1000,2500,4
E 911 State Tax Fund-Operating,Emergency Communications,Direct Expenses,Professional Svcs-Other,,,,,,,,168750,168750,4
E 911 State Tax Fund-Operating,Emergency Communications,Direct Expenses,Rsv-Program,,,,75000,75000,75000,75000,,58323,4
E 911 State Tax Fund-Operating,Emergency Communications,Direct Expenses,Rsv-Wide Area Network,,,,744,744,744,744,743.73,743.73,4
E 911 State Tax Fund-Operating,Emergency Communications,Direct Expenses,Telephone/Comm (Hard Lines),,,,1610400,1610400,1610400,1610400,2117842,1620000,4
E 911 State Tax Fund-Operating,Emergency Communications,Direct Expenses,Wan Data Line,,,,4536,4536,4536,4536,4500,6744,4
E 911 State Tax Fund-Operating,Emergency Communications,Direct Expenses Total,,,,,1900016,1965151,1972151,2059718,2724835.73,2358917.73,3
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,457 Plan Offset,,,,-2963,,,,,,4
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Dental Insurance,,,,2392,3658.52,3943,3782.83,3361.1,4805.8,4
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Dental Insurance Increment,,,,,73.17,,,-279.64,,4
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,FICA Temp,,,,,,,,,66.96,4
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Group Life AD & D (Retiree),,,,,288,3235.01,,,,4
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Group Life Ad & Di,,,,317.81,307.39,344.55,359.9,371.83,425.02,4
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Health Insurance,,,,40638,61000,68652,44964,33609.12,54760.32,4
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Health Insurance (Retiree),,,,,21791,122016,,,,4
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Health Insurance Increment,,,,,-9862,-9535.76,-2675.36,-2527.41,4052.26,4
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Medicare,,,,5120.32,4952.4,5551.02,5798.45,5990.43,6847.64,4
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Medicare Supplement,,,,,1125,4800,,,,4
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Medicare Temp,,,,,,,,,15.66,4
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Opeb- Post Employment Benefits,,,,,3264,12085,,,,4
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Retirement,,,,24294.98,23020.09,27065.93,28272.51,28919.28,34238.23,4
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Social Security,,,,21893.73,21175.76,23735.34,24793.42,25614.2,29279.58,4
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Supplemental Retirement,,,,8977.78,3720.51,3484.65,5356.29,6429.31,9391.68,4
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits Total,,,,,100671.62,134513.84,265376.74,110652.04,101488.22,143883.15,3
E 911 State Tax Fund-Operating,Emergency Communications,Miscellaneous,Mileage Reimb,,,,3000,3000,3000,3000,200,200,4
E 911 State Tax Fund-Operating,Emergency Communications,Miscellaneous,Organization Dev & Training,,,,7080,7080,18510,22310,10500,14000,4
E 911 State Tax Fund-Operating,Emergency Communications,Miscellaneous,Training & Travel & Reg,,,,10000,10000,10000,10000,6000,6000,4
E 911 State Tax Fund-Operating,Emergency Communications,Miscellaneous Total,,,,,20080,20080,31510,35310,16700,20200,3
E 911 State Tax Fund-Operating,Emergency Communications,Other Expense,Sir Prop/Liab Claims,,,,,308,308,308,,,4
E 911 State Tax Fund-Operating,Emergency Communications,Other Expense,To Isf-Excess Prop/Liab Prem,,,,,592,592,592,,,4
E 911 State Tax Fund-Operating,Emergency Communications,Other Expense Total,,,,,,900,900,900,,,3
E 911 State Tax Fund-Operating,Emergency Communications,Salaries and Wages,Earnings Offset,,,,-2660,,,,,,4
E 911 State Tax Fund-Operating,Emergency Communications,Salaries and Wages,Expense Allowance,,,,,,,,1080,1080,4
E 911 State Tax Fund-Operating,Emergency Communications,Salaries and Wages,Longevity,,,,3286.08,3800.58,3576.71,3701.27,4420.57,4495.16,4
E 911 State Tax Fund-Operating,Emergency Communications,Salaries and Wages,Merit Increase,,,,2659.72,11.43,22.49,23.32,,,4
E 911 State Tax Fund-Operating,Emergency Communications,Salaries and Wages,Range Increase,,,,14.86,11.43,22.49,23.32,,,4
E 911 State Tax Fund-Operating,Emergency Communications,Salaries and Wages,Salaries-Ft,,,,347164.11,337721.01,379206.3,396146.06,408711.82,467756.35,4
E 911 State Tax Fund-Operating,Emergency Communications,Salaries and Wages Total,,,,,350464.77,341544.45,382827.99,399893.97,414212.39,473331.51,3
E 911 State Tax Fund-Operating,Emergency Communications Total,,,,,,2398232.39,2489189.29,2681165.73,2634874.01,3280636.34,3019732.39,2
E 911 State Tax Fund-Operating Total,,,,,,,2398232.39,2489189.29,2681165.73,2634874.01,3280636.34,3019732.39,1
Economic Development Fund,Budget & Management Services,Direct Expenses,Contractual Svcs-Other,,,,,18053,2500,2500,3500,3500,4
Economic Development Fund,Budget & Management Services,Direct Expenses,Rsv-Econ Dev Projects,,,,,50000,,,,,4
Economic Development Fund,Budget & Management Services,Direct Expenses Total,,,,,,68053,2500,2500,3500,3500,3
Economic Development Fund,Budget & Management Services,Interfund Transfers In/Out,To 515 Sidewalk,,,,,,,27500,,,4
Economic Development Fund,Budget & Management Services,Interfund Transfers In/Out Total,,,,,,,,27500,,,3
Economic Development Fund,Budget & Management Services Total,,,,,,,68053,2500,30000,3500,3500,2
Economic Development Fund,City Manager,Direct Expenses,Repairs-Bldg/Structure,,,,,,1000,,,,4
Economic Development Fund,City Manager,Direct Expenses,Special Projects & Programs,,,,,5000,,,,,4
Economic Development Fund,City Manager,Direct Expenses Total,,,,,,5000,1000,,,,3
Economic Development Fund,City Manager Total,,,,,,,5000,1000,,,,2
Economic Development Fund,Economic Development,Direct Expenses,Contractual Svcs-Other,,,,59670,,,,,,4
Economic Development Fund,Economic Development,Direct Expenses,Se Ral Virtual Business Incuba,,,,162000,,,,,,4
Economic Development Fund,Economic Development,Direct Expenses,Special Projects & Programs,,,,1599000,,,,,,4
Economic Development Fund,Economic Development,Direct Expenses Total,,,,,1820670,,,,,,3
Economic Development Fund,Economic Development,Other Expense,Other External Agencies,,,,310799,,,,,,4
Economic Development Fund,Economic Development,Other Expense Total,,,,,310799,,,,,,3
Economic Development Fund,Economic Development Total,,,,,,2131469,,,,,,2
Economic Development Fund,Finance Administration,Direct Expenses,Special Projects & Programs,,,,,900000,395650,500000,500000,100000,4
Economic Development Fund,Finance Administration,Direct Expenses Total,,,,,,900000,395650,500000,500000,100000,3
Economic Development Fund,Finance Administration Total,,,,,,,900000,395650,500000,500000,100000,2
Economic Development Fund,Information Technology Admin,Direct Expenses,Se Ral Virtual Business Incuba,,,,,162000,152000,,,,4
Economic Development Fund,Information Technology Admin,Direct Expenses Total,,,,,,162000,152000,,,,3
Economic Development Fund,Information Technology Admin,Other Expense,Other External Agencies,,,,,207000,207000,,,,4
Economic Development Fund,Information Technology Admin,Other Expense Total,,,,,,207000,207000,,,,3
Economic Development Fund,Information Technology Admin Total,,,,,,,369000,359000,,,,2
Economic Development Fund,Office of Economic Development,Direct Expenses,Entrepreneurship Prog Exp,,,,,,,100000,100000,270000,4
Economic Development Fund,Office of Economic Development,Direct Expenses,Event Sponsorships,,,,,,,10000,30000,30000,4
Economic Development Fund,Office of Economic Development,Direct Expenses,Red Hat Incentive Grant,,,,,,,100000,150000,150000,4
Economic Development Fund,Office of Economic Development,Direct Expenses,Special Projects & Programs,,,,,,,659450,653963,673963,4
Economic Development Fund,Office of Economic Development,Direct Expenses Total,,,,,,,,869450,933963,1123963,3
Economic Development Fund,Office of Economic Development,Other Expense,Other External Agencies,,,,,,,536500,349481,319329,4
Economic Development Fund,Office of Economic Development,Other Expense Total,,,,,,,,536500,349481,319329,3
Economic Development Fund,Office of Economic Development Total,,,,,,,,,1405950,1283444,1443292,2
Economic Development Fund,Planning,Direct Expenses,Red Hat Incentive Grant,,,,,100000,100000,,,,4
Economic Development Fund,Planning,Direct Expenses,Special Projects & Programs,,,,,584450,659450,,,,4
Economic Development Fund,Planning,Direct Expenses Total,,,,,,684450,759450,,,,3
Economic Development Fund,Planning,Other Expense,Other External Agencies,,,,,103799,104162,,,,4
Economic Development Fund,Planning,Other Expense Total,,,,,,103799,104162,,,,3
Economic Development Fund,Planning Total,,,,,,,788249,863612,,,,2
Economic Development Fund Total,,,,,,,2131469,2130302,1621762,1935950,1786944,1546792,1
Emergency Shelter Grant,Community Development,Other Expense,Program Expenditures - Gr,,,,108680,195403,178932,217085,,,4
Emergency Shelter Grant,Community Development,Other Expense Total,,,,,108680,195403,178932,217085,,,3
Emergency Shelter Grant,Community Development Total,,,,,,108680,195403,178932,217085,,,2
Emergency Shelter Grant Total,,,,,,,108680,195403,178932,217085,,,1
Emergency Solution Grant,Community Development,Other Expense,Program Expenditures - Gr,,,,,,,,239845,239845,4
Emergency Solution Grant,Community Development,Other Expense Total,,,,,,,,,239845,239845,3
Emergency Solution Grant,Community Development Total,,,,,,,,,,239845,239845,2
Emergency Solution Grant Total,,,,,,,,,,,239845,239845,1
General Debt Service Fund,Non-Departmental,Direct Expenses,Rsv-Contingency,,,,,,,,28849,,4
General Debt Service Fund,Non-Departmental,Direct Expenses,Rsv-Future Facility,,,,,,,,1564946,,4
General Debt Service Fund,Non-Departmental,Direct Expenses Total,,,,,,,,,1593795,,3
General Debt Service Fund,Non-Departmental Total,,,,,,,,,,1593795,,2
General Debt Service Fund,Treasury Office,Capital Project Expense,Biannual Budget Reserve,,,,,,,,,7402948,4
General Debt Service Fund,Treasury Office,Capital Project Expense,Bond Commission Exp,,,,100000,100000,100000,100000,100000,,4
General Debt Service Fund,Treasury Office,Capital Project Expense,Bond Interest,,,,17103739,19612883,20053337,25288500,31349127,22597362,4
General Debt Service Fund,Treasury Office,Capital Project Expense,Bond Principal,,,,28904296,31695663,31262067,32158800,42158800,41547539,4
General Debt Service Fund,Treasury Office,Capital Project Expense Total,,,,,46108035,51408546,51415404,57547300,73607927,71547849,3
General Debt Service Fund,Treasury Office,Direct Expenses,Arbitrage Rebate Consult,,,,30000,30000,30000,30000,30000,30000,4
General Debt Service Fund,Treasury Office,Direct Expenses,Bond Liquidity Fees,,,,,,,,,303650,4
General Debt Service Fund,Treasury Office,Direct Expenses,Bond Re-Marketing Fees,,,,500000,500000,500000,500000,500000,151825,4
General Debt Service Fund,Treasury Office,Direct Expenses,Bond Sale Services,,,,250000,250000,250000,250000,250000,400000,4
General Debt Service Fund,Treasury Office,Direct Expenses,Financial Advisor,,,,100000,100000,100000,100000,100000,150000,4
General Debt Service Fund,Treasury Office,Direct Expenses,Professional Svcs-Other,,,,330000,330000,330000,330000,330000,330000,4
General Debt Service Fund,Treasury Office,Direct Expenses,Rsv-Future Debt,,,,321099,,,,,,4
General Debt Service Fund,Treasury Office,Direct Expenses,Trustee Escrow Agent Expense,,,,75000,75000,75000,75000,75000,75000,4
General Debt Service Fund,Treasury Office,Direct Expenses Total,,,,,1606099,1285000,1285000,1285000,1285000,1440475,3
General Debt Service Fund,Treasury Office Total,,,,,,47714134,52693546,52700404,58832300,74892927,72988324,2
General Debt Service Fund Total,,,,,,,47714134,52693546,52700404,58832300,76486722,72988324,1
General Fund,Accounting & Fin Reporting,Capital Equipment,Office Furniture & Equip,,,,,,4000,2000,800,800,4
General Fund,Accounting & Fin Reporting,Capital Equipment Total,,,,,,,4000,2000,800,800,3
General Fund,Accounting & Fin Reporting,Direct Expenses,Audit Services,,,,80000,80000,90000,73500,73500,74500,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Computer Lease,,,,13000,10942,11234,10900,10900,10950,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Computer Operations & Access,,,,3400,3400,17400,14000,7000,7000,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Contractual Svcs-Other,,,,25980,25980,25980,,,,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Copier Maintenance/Impressions,,,,,4176,3511,5200,5200,5200,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Indirect Cost Plan,,,,16000,13500,13500,13500,13500,13500,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Office Supplies,,,,7320,6200,4200,4500,1500,2000,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Operational & Maint Supplies,,,,4050,4050,3050,2100,5100,3400,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Photocopy Maint,,,,5362,3564,3780,5000,5000,5000,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Print Copy-Rmb,,,,23105,38105,34850,12700,7500,7500,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Professional Svcs-Other,,,,16800,16800,16800,18500,18500,19200,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Telephone/Comm (Hard Lines),,,,,,400,,,,4
General Fund,Accounting & Fin Reporting,Direct Expenses,Wireless Data Comm,,,,960,,,,,,4
General Fund,Accounting & Fin Reporting,Direct Expenses Total,,,,,195977,206717,224705,159900,147700,148250,3
General Fund,Accounting & Fin Reporting,Employee Benefits,457 Plan Offset,,,,-9919,,,,,,4
General Fund,Accounting & Fin Reporting,Employee Benefits,Dental Insurance,,,,7383.12,7485.2,8241.44,9777.56,12047.6,11945.96,4
General Fund,Accounting & Fin Reporting,Employee Benefits,Dental Insurance Increment,,,,,149.7,,,-1002.36,,4
General Fund,Accounting & Fin Reporting,Employee Benefits,FICA Temp,,,,,,31.25,31.25,31.25,31.25,4
General Fund,Accounting & Fin Reporting,Employee Benefits,Group Life Ad & Di,,,,1032.3,1018.48,1150.69,1167.11,1260,1256.93,4
General Fund,Accounting & Fin Reporting,Employee Benefits,Health Insurance,,,,130929,121736,139272,142008,153993.12,145914.24,4
General Fund,Accounting & Fin Reporting,Employee Benefits,Health Insurance Increment,,,,-11840,-19681.67,-18219.79,-8449.48,-11580.28,10797.65,4
General Fund,Accounting & Fin Reporting,Employee Benefits,Medicare,,,,16631.27,16408.72,18538.48,18803.38,20299.68,20250.43,4
General Fund,Accounting & Fin Reporting,Employee Benefits,Medicare Temp,,,,,,7.31,7.31,7.31,7.31,4
General Fund,Accounting & Fin Reporting,Employee Benefits,Retirement,,,,78912.5,76272.15,90461.06,91682.69,97998.52,101252.15,4
General Fund,Accounting & Fin Reporting,Employee Benefits,Social Security,,,,71113.02,70161.37,79267.98,80400.63,86798.74,86588.05,4
General Fund,Accounting & Fin Reporting,Employee Benefits,Supplemental Retirement,,,,30057.78,21127.32,24718.61,36550.36,34497.68,31350.95,4
General Fund,Accounting & Fin Reporting,Employee Benefits Total,,,,,314299.99,294677.27,343469.03,371978.81,394351.26,409394.92,3
General Fund,Accounting & Fin Reporting,Miscellaneous,Licenses/Dues & Publications,,,,5490,5490,5490,4200,4500,4500,4
General Fund,Accounting & Fin Reporting,Miscellaneous,Records Storage Retention Svcs,,,,,4227,4227,1900,2800,2800,4
General Fund,Accounting & Fin Reporting,Miscellaneous,Training & Travel & Reg,,,,4800,11800,23300,24600,20600,16600,4
General Fund,Accounting & Fin Reporting,Miscellaneous Total,,,,,10290,21517,33017,30700,27900,23900,3
General Fund,Accounting & Fin Reporting,Salaries and Wages,Agency Personnel-Temp,,,,,,,,50000,,4
General Fund,Accounting & Fin Reporting,Salaries and Wages,Earnings Offset,,,,-5919,,,1538,,,4
General Fund,Accounting & Fin Reporting,Salaries and Wages,Expense Allowance,,,,,504,504,504,504,504,4
General Fund,Accounting & Fin Reporting,Salaries and Wages,Longevity,,,,13778.51,13255.84,10112.57,8147.57,13655,13119.32,4
General Fund,Accounting & Fin Reporting,Salaries and Wages,Merit Increase,,,,5919.25,24.33,80.02,80.08,,,4
General Fund,Accounting & Fin Reporting,Salaries and Wages,Range Increase,,,,54.67,24.33,80.02,80.08,,,4
General Fund,Accounting & Fin Reporting,Salaries and Wages,Salaries-Ft,,,,1127231.74,1118330.19,1268243.12,1288476.9,1386324.2,1383462.04,4
General Fund,Accounting & Fin Reporting,Salaries and Wages Total,,,,,1141065.17,1132138.69,1279019.73,1298826.63,1450483.2,1397085.36,3
General Fund,Accounting & Fin Reporting Total,,,,,,1661632.16,1655049.96,1884210.76,1863405.44,2021234.46,1979430.28,2
General Fund,Arts Appropriations,Other Expense,Arts & Culture,,,,2179329,2052760,2343183,2317093,2295562,2417003,4
General Fund,Arts Appropriations,Other Expense,Boards & Commissions,,,,9000,,,,,,4
General Fund,Arts Appropriations,Other Expense,Human Service Agencies,,,,974000,,,,,,4
General Fund,Arts Appropriations,Other Expense,Other External Agencies,,,,306850,,,,,,4
General Fund,Arts Appropriations,Other Expense Total,,,,,3469179,2052760,2343183,2317093,2295562,2417003,3
General Fund,Arts Appropriations Total,,,,,,3469179,2052760,2343183,2317093,2295562,2417003,2
General Fund,Budget & Management Services,Direct Expenses,Appraisal/Environmental Assess,,,,5000,,5000,,,,4
General Fund,Budget & Management Services,Direct Expenses,Computer Lease,,,,11844,12520,6600,6600,6600,6600,4
General Fund,Budget & Management Services,Direct Expenses,Computer Operations & Access,,,,500,,,2030,,,4
General Fund,Budget & Management Services,Direct Expenses,Copier Maintenance/Impressions,,,,1716,2360,682,2950,2950,2950,4
General Fund,Budget & Management Services,Direct Expenses,Office Supplies,,,,2125,2125,3625,4000,2500,4300,4
General Fund,Budget & Management Services,Direct Expenses,Operational & Maint Supplies,,,,500,500,1100,1100,1100,1605,4
General Fund,Budget & Management Services,Direct Expenses,Photocopy Maint,,,,1284,1950,1464,1500,1500,1500,4
General Fund,Budget & Management Services,Direct Expenses,Print Copy-Rmb,,,,6000,5000,5000,5000,5000,5000,4
General Fund,Budget & Management Services,Direct Expenses,Professional Svcs-Other,,,,15000,,14000,85720,191045,191045,4
General Fund,Budget & Management Services,Direct Expenses,Telephone/Comm (Hard Lines),,,,500,,395,795,,,4
General Fund,Budget & Management Services,Direct Expenses,Vehicle Maint & Operation,,,,500,500,500,500,500,,4
General Fund,Budget & Management Services,Direct Expenses Total,,,,,44969,24955,38366,110195,211195,213000,3
General Fund,Budget & Management Services,Employee Benefits,457 Plan Offset,,,,-9385,,,,,,4
General Fund,Budget & Management Services,Employee Benefits,Dental Insurance,,,,5936.12,5367.5,7236.6,7761.04,5166.92,5719.4,4
